Year,Artificial intelligence (AI) startup funding worldwide from 2011 to 2021 (in billion U.S. dollars),Revenues from the Ai software market worldwide from 2018 to 2025 (In billions USD),AI funding investment in the United States from 2011 to 2019 (million USD),Global investment in AI,US public investment on AI (USD),Number of all AI paper of all doc type on Microsoft  Academic Graph,AI paper ratio,Number of peer-reviewed AI publications 2000-2019 (in thousands) (visual estimate),Number of AI Journal Publications (in thousands) (visual estimate),Number of AI conference publications (in thousands),Number of Ai patent publications (in thousands) ,Number of AI related publications on ARVIX (In thousands) (visual estimate),Number of deep learning papers on arXiv (In thousands) ,Number of paper titles mentioning ethics keywords at AI conference 2000-2019,AAAI conference attendance over years ,CVPR conference attendance over years ,ICML conference attendance over years ,IROS conference attendance over years ,NeurIPS conference attendance over years ,Imagenet top 1 accuracy performance over years (percentage) (with extra training data),Imagenet top 1 accuracy performance over years (percentage) (without extra training data),Imagenet top 5 accuracy performance over years (percentage) (with extra training data),Imagenet top 5 accuracy performance over years (percentage) (without extra training data),Mean IoU of semantic segmaentation over years (percentage),Training cost of imagnet to 93% accuracy (USD),COCO keypoint challenge average precision,Activitynet mean average precision of best model performance  per year (percentage),YOU ONLY LOOK ONCE (YOLO) mean average precision over years (mean average precision - mAP50),False Non-Match rate (FNMR; Log Scale) of NIST FRVT 1:1 VERIFICATION ACCURACY over years (MUGSHOT Photos FNMR@ FMR ? 0.00001),SuperGLUE English language score over time,SQUAD 1.1 performance over time (score),SQUAD 2.0 performance over time (score),Number of independent machine translation services (commercial),Visual Question answering challenge accuracy over time,Visual commonsense reasoning (Q->AR Score) over time,"LIBRISPEECH word error rate, test clean",VOXCELEB equal error rate (percentage),"Number of undergraduate courses that teach students the skills necessary to build or deploy a practical AI model, academic year 2016-2020 (18 university in 9 countries)"
1990,,,,,,0.2160959720346389,0.48868232896708336,,,0.1591495637212732,0.26043990174210124,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,0.24212055522137352,0.5359513480994617,,,0.19675556101757405,0.28237851879041137,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,0.2919906025491153,0.6065358149071592,,,0.22760231043382081,0.35034023209193327,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,0.2774404430875393,0.584583517178754,,,0.24095694563926098,0.2957054521839794,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,0.32373537323088447,0.6352853903659262,,,0.29970095448773093,0.3593754411723184,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,0.33904595444279245,0.6411028122366952,,,0.2881897505223055,0.3840528559731203,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,0.36999625463914015,0.6684963746592649,,,0.3159231493998607,0.40946438151170345,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,0.3890294975541659,0.6649812362220889,,,0.3298512965466388,0.44201936922946605,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,0.44542555244072685,0.7145647135181066,,,0.408545327925935,0.47943078182793575,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,0.48107457807942433,0.7271088836486238,,,0.4103068288886158,0.5809639438687636,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,0.00011636595963420983,0.542986528050483,0.7524025150473366,0.2898550724637681,0.34782608695652173,0.48158617016918603,0.6156930287714939,,,0.56,1.0535298681148177,,,,0.48005908419497784,,,,,,,,,,,,,,,,,,,
