Year,Artificial intelligence (AI) startup funding worldwide from 2011 to 2021 (in billion U.S. dollars),Revenues from the Ai software market worldwide from 2018 to 2025 (In billions USD),AI funding investment in the United States from 2011 to 2019 (million USD),Global investment in AI,US public investment on AI (USD),Number of all AI paper of all doc type on Microsoft  Academic Graph,AI paper ratio,Number of peer-reviewed AI publications 2000-2019 (in thousands) (visual estimate),Number of AI Journal Publications (in thousands) (visual estimate),Number of AI conference publications (in thousands),Number of Ai patent publications (in thousands) ,Number of AI related publications on ARVIX (In thousands) (visual estimate),Number of deep learning papers on arXiv (In thousands) ,Number of paper titles mentioning ethics keywords at AI conference 2000-2019,AAAI conference attendance over years ,CVPR conference attendance over years ,ICML conference attendance over years ,IROS conference attendance over years ,NeurIPS conference attendance over years ,Imagenet top 1 accuracy performance over years (percentage) (with extra training data),Imagenet top 1 accuracy performance over years (percentage) (without extra training data),Imagenet top 5 accuracy performance over years (percentage) (with extra training data),Imagenet top 5 accuracy performance over years (percentage) (without extra training data),Mean IoU of semantic segmaentation over years (percentage),Training cost of imagnet to 93% accuracy (USD),COCO keypoint challenge average precision,Activitynet mean average precision of best model performance  per year (percentage),YOU ONLY LOOK ONCE (YOLO) mean average precision over years (mean average precision - mAP50),False Non-Match rate (FNMR; Log Scale) of NIST FRVT 1:1 VERIFICATION ACCURACY over years (MUGSHOT Photos FNMR@ FMR ? 0.00001),SuperGLUE English language score over time,SQUAD 1.1 performance over time (score),SQUAD 2.0 performance over time (score),Number of independent machine translation services (commercial),Visual Question answering challenge accuracy over time,Visual commonsense reasoning (Q->AR Score) over time,"LIBRISPEECH word error rate, test clean",VOXCELEB equal error rate (percentage),"Number of undergraduate courses that teach students the skills necessary to build or deploy a practical AI model, academic year 2016-2020 (18 university in 9 countries)"
1990,,,,,,19040,0.01164033,,,3885,9224,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,21333,0.01276627,,,4803,10001,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,25727,0.01444758,,,5556,12408,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,24445,0.01392468,,,5882,10473,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,28524,0.01513239,,,7316,12728,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,29873,0.01527096,,,7035,13602,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,32600,0.01592347,,,7712,14502,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,34277,0.01583974,,,8052,15655,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,39246,0.01702081,,,9973,16980,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,42387,0.01731961,,,10016,20576,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,18604,47842,0.0179221,10,16,11756,21806,,,7,1358,,,,650,,,,,,,,,,,,,,,,,,,
2001,,,,,1283347,52263,0.01839536,12,17,11177,24808,,,5,1378,,,,680,,,,,,,,,,,,,,,,,,,
2002,,,,,2543365,59581,0.01965113,15,18,14708,26651,,,5,1399,,,822,708,,,,,,,,,,,,,,,,,,,
2003,,,,,18321110,65500,0.02063604,17,21,16548,28336,,,11,1466,,,908,721,,,,,,,,,,,,,,,,,,,
2004,,,,,29890776,77972,0.02250731,20,23,21593,32261,,,6,1534,,,1040,815,,,,,,,,,,,,,,,,,,,
2005,,,,,28629792,88109,0.02381983,23,26,24411,35417,,,14,1116,,,1079,926,,,,,,,,,,,,,,,,,,,
2006,,,,,69865948,102497,0.02547318,25,37,28898,38171,,,13,1263,,,1119,913,,,,,,,,,,,,,,,,,,,
2007,,,,,81275897,105381,0.02514111,28,38,30385,38392,,,12,1064,,406,1021,1050,,,,,,,,,,,,,,,,,,,
2008,,,,,118422951,112948,0.02565707,34,39,35171,37994,,,14,1113,,540,1157,1000,,,,,,,,,,,,,,,,,,,
2009,,,,,159874933,123004,0.02648983,34,42,40065,38943,,,11,1015,1116,579,1400,1239,,,,,,,,,,,,,,,,,,,
2010,,,,,144198765,135858,0.02731044,35,46,44076,42901,,0.1,12,918,1306,514,1200,1354,,,,,,,,,,,,,,,,,,,
2011,0.67,,282,,160531658,137891,0.02607519,36,50,39255,47510,,0.2,16,1108,1496,546,1556,1452,,,,,,,,,,,,,,,,,,,
2012,0.66,,595,,162612593,148076,0.02609212,36,52,40117,53769,,0.3,8,934,1811,744,1447,1676,63.3,61.9,84.6,83.6,,,,,,,,,,,,,,,
2013,1.78,,1147,,183208584,155940,0.02563329,37,56,38640,59456,,0.35,12,807,1991,500,1472,1994,,66.3,,86.8,,,,,,,,,,,,,,,
2014,3.72,,2613,,225892005,157113,0.0256591,41,55,39456,59770,,0.5,17,1019,2061,800,1615,2581,,74.5,,92,63.1,,,,,,,,,,,,,,
2015,6.3,,3297,7951767983,298863495,158019,0.02521642,43,52,42034,59972,5,1.1,16,1380,2750,1200,2079,3852,,78.8,,94.4,62.5,,,,,,,,,,55.37,,5.33,,
