Year,Artificial intelligence (AI) startup funding worldwide from 2011 to 2021 (in billion U.S. dollars),Revenues from the Ai software market worldwide from 2018 to 2025 (In billions USD),AI funding investment in the United States from 2011 to 2019 (million USD),Global investment in AI,US public investment on AI (USD),Number of all AI paper of all doc type on Microsoft  Academic Graph,AI paper ratio,Number of peer-reviewed AI publications 2000-2019 (in thousands) (visual estimate),Number of AI Journal Publications (in thousands) (visual estimate),Number of AI conference publications (in thousands),Number of Ai patent publications (in thousands) ,Number of AI related publications on ARVIX (In thousands) (visual estimate),Number of deep learning papers on arXiv (In thousands) ,Number of paper titles mentioning ethics keywords at AI conference 2000-2019,AAAI conference attendance over years ,CVPR conference attendance over years ,ICML conference attendance over years ,IROS conference attendance over years ,NeurIPS conference attendance over years ,Imagenet top 1 accuracy performance over years (percentage) (with extra training data),Imagenet top 1 accuracy performance over years (percentage) (without extra training data),Imagenet top 5 accuracy performance over years (percentage) (with extra training data),Imagenet top 5 accuracy performance over years (percentage) (without extra training data),Mean IoU of semantic segmaentation over years (percentage),Training cost of imagnet to 93% accuracy (USD),COCO keypoint challenge average precision,Activitynet mean average precision of best model performance  per year (percentage),YOU ONLY LOOK ONCE (YOLO) mean average precision over years (mean average precision - mAP50),False Non-Match rate (FNMR; Log Scale) of NIST FRVT 1:1 VERIFICATION ACCURACY over years (MUGSHOT Photos FNMR@ FMR ? 0.00001),SuperGLUE English language score over time,SQUAD 1.1 performance over time (score),SQUAD 2.0 performance over time (score),Number of independent machine translation services (commercial),Visual Question answering challenge accuracy over time,Visual commonsense reasoning (Q->AR Score) over time,"LIBRISPEECH word error rate, test clean",VOXCELEB equal error rate (percentage),"Number of undergraduate courses that teach students the skills necessary to build or deploy a practical AI model, academic year 2016-2020 (18 university in 9 countries)"
1990,,,,,,19040.0,0.01164033,,,3885.0,9224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,21333.0,0.01276627,,,4803.0,10001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,25727.0,0.01444758,,,5556.0,12408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,24445.0,0.01392468,,,5882.0,10473.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,28524.0,0.01513239,,,7316.0,12728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,29873.0,0.01527096,,,7035.0,13602.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,32600.0,0.01592347,,,7712.0,14502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,34277.0,0.01583974,,,8052.0,15655.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,39246.0,0.01702081,,,9973.0,16980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,42387.0,0.01731961,,,10016.0,20576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,18604.0,47842.0,0.0179221,10.0,16.0,11756.0,21806.0,,,7.0,1358.0,,,,650.0,,,,,,,,,,,,,,,,,,,
2001,,,,,1283347.0,52263.0,0.01839536,12.0,17.0,11177.0,24808.0,,,5.0,1378.0,,,,680.0,,,,,,,,,,,,,,,,,,,
2002,,,,,2543365.0,59581.0,0.01965113,15.0,18.0,14708.0,26651.0,,,5.0,1399.0,,,822.0,708.0,,,,,,,,,,,,,,,,,,,
2003,,,,,18321110.0,65500.0,0.02063604,17.0,21.0,16548.0,28336.0,,,11.0,1466.0,,,908.0,721.0,,,,,,,,,,,,,,,,,,,
2004,,,,,29890776.0,77972.0,0.02250731,20.0,23.0,21593.0,32261.0,,,6.0,1534.0,,,1040.0,815.0,,,,,,,,,,,,,,,,,,,
2005,,,,,28629792.0,88109.0,0.02381983,23.0,26.0,24411.0,35417.0,,,14.0,1116.0,,,1079.0,926.0,,,,,,,,,,,,,,,,,,,
2006,,,,,69865948.0,102497.0,0.02547318,25.0,37.0,28898.0,38171.0,,,13.0,1263.0,,,1119.0,913.0,,,,,,,,,,,,,,,,,,,
