Year,Projected size of the global autonomous car market (USD billion),Estimated worldwide motor vehicle production (millions) ,CB insights- Amount of global funding deals dollars to auto tech startups (in million USD),CB insights - Number of global deals to auto tech startups,CB insights-Funding to autonomous vehicle tech startups (million USD),CB insights-Number of deals to autonomous tech startups,US electric vehcles sales 2011-2019 ,Projected sales of autonomous vehicles worldwide from 2019 to 2030 (million),Unit sales of social and entertainment robots worldwide from 2015 to 2025 (in millions),Unit cost of industrial robtot over time (USD),VC activities in autonomous cars (number of deals) (visual estiamate),Collaborative robtot sales forecast (unit per year) (Visual estimation),Global market for industrial and non-industrial robots,Estimated share of newly registered car with (Lv.0) no autonomous driving  (visaul estimation on chart) (percentage),Estimate share of newly registered car with (Lv.2) assisted autonomous driving (percentage) (visual estimation),"Estimated annual worldwide supply of industrial robots 2009-2017, forcast 2018-2021 ( in 1000 units)",Estimate operational stock of industrial robots at a year-end in Republic of Korea in 1000 units,Estimate number of Internet of things(IoT) connected devices worldwide  (billion),Number of papers on social robtot navigation over years (visual estimate),Annual increase in number of vehicles equipped with hardware for fully autonomous driving,Global annual installations of industrial robots (1000units),Industrial robtot items pick and place per hour improvement (unit) (visual estimate),Annual volumn of data generated from connected autonomous vehicle ( in PBs),Fully autonomous car shipment forcast in the US (1000 units),Fully autonomous car shipment forecast in the world (1000 units),Estimated global installed based of cars with self-driving features (All levels) (millions car on the road) (visual estimate),Percentage of driver afraid to drive in fully autonomous vehicle,Number of accident reported in autonomous vehicle over years,LIDAR sensor technology prices over years (USD logarithmic scale),Asia pacific automotive sensor volumn forecast (annual growth rate),worldwide annual supply of industrial robots (1000 units) 2016-2019 forcast,Global self driving minutes forecast (billions),Number of patent application of autonomous vehicles over years
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,67,,,,,,,,68659,,,,,,,,,,,,,,,,,,,,,120,,
2006,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,,
2007,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,,114,,743
2008,,71,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,113,,691
2009,,62,,,,,,,,,,,,,,60,79,,,,,,,,,,,,,,60,,690
2010,,77,,,,,,,,46150,,,,,,121,101,,,,121,,,,,,,,,,121,,743
2011,,80,,,,,17425,,,,,,,,,166,124,,3333,,166,,,,,,,,,,166,,1008
2012,,84,,,,,52607,,,,,,,,,159,139,,6664,,159,,,,,,,,,,159,,1223
2013,,87,,,,,97507,,,,16,,,65,6,178,156,,6330,,178,,,,,,,,,,178,,1337
2014,,90,474,62,167,20,122438,,,31776,20,,,60,7,221,177,,4331,,221,,,,,,,,8000,,221,,1781
2015,,91,1116,89,604,24,116099,,1.72,,38,3030,,53,10,254,210,,4831,,254,25,159951,,104,,,,,,254,,1890
2016,,95,1493,132,941,57,158614,,2.1,,52,5000,,42,12,294,246,,4748,,304,96,278155,,213,0.2,75,3,,,290,,2576
2017,,97,4411,197,3091,77,199818,,2.4,27074,105,8000,,36,18,381,273,,5000,,400,,455018,,510,0.6,62,1,375,,322,,3034
2018,,97,,,,,361307,,2.68,,120,14000,63.9,26,20,421,300,,8663,137129,422,224,718741,64,1126,2,72,4,175,6.4,363,,3580
2019,24.1,92,,,,,405000,1.4,2.93,,,23500,83.12,25,22,484,,7.74,8663,332932,383,,1086285,107,2487,4.2,71,2,150,7.1,414,,
2020,23.33,78,,,,,,1.96,3.13,,,40036,103.95,24,26,553,,8.74,10829,390662,376,,1534359,149,5494,10,,,100,8.1,,,
2021,27.26,,,,,,,2.76,3.6,,,,132.06,,,6310,,10.07,,508622,,,,213,,,,,,9.1,,,
2022,31.85,,,,,,,3.87,4.14,,,,165.26,,,,,11.57,,638585,,,,320,,,,,,9.6,,,
2023,37.22,,,,,,,5.42,4.55,,,,,,,,,13.15,,745705,,,,426,,,,,,10.1,,,
2024,,,,,,,,7.61,5.05,,,,,,,,,14.76,,,,,,512,,,,,,10.3,,,
2025,,,,,,,,10.76,5.51,10856,,,209.38,,,,,16.44,,,,,,569,,,,,,10.5,,87,
2026,,,,,,,,14.97,,,,,,,,,,18.15,,,,,,,,,,,,10.3,,266,
2027,,,,,,,,21.01,,,,,,,,,,19.91,,,,,,,,,,,,10.1,,542,
2028,,,,,,,,29.47,,,,,,,,,,21.72,,,,,,,,,,,,10,,898,
2029,,,,,,,,41.34,,,,,,,,,,23.57,,,,,,,,,,,,9.8,,1333,
2030,,,,,,,,58,,,,,,,,,,25.44,,,,,,,,,,,,,,1852,
2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462,
2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3091,
2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3740,
2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,
2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5102,
