Year,Projected size of the global autonomous car market (USD billion),Estimated worldwide motor vehicle production (millions) ,CB insights- Amount of global funding deals dollars to auto tech startups (in million USD),CB insights - Number of global deals to auto tech startups,CB insights-Funding to autonomous vehicle tech startups (million USD),CB insights-Number of deals to autonomous tech startups,US electric vehcles sales 2011-2019 ,Projected sales of autonomous vehicles worldwide from 2019 to 2030 (million),Unit sales of social and entertainment robots worldwide from 2015 to 2025 (in millions),Unit cost of industrial robtot over time (USD),VC activities in autonomous cars (number of deals) (visual estiamate),Collaborative robtot sales forecast (unit per year) (Visual estimation),Global market for industrial and non-industrial robots,Estimated share of newly registered car with (Lv.0) no autonomous driving  (visaul estimation on chart) (percentage),Estimate share of newly registered car with (Lv.2) assisted autonomous driving (percentage) (visual estimation),"Estimated annual worldwide supply of industrial robots 2009-2017, forcast 2018-2021 ( in 1000 units)",Estimate operational stock of industrial robots at a year-end in Republic of Korea in 1000 units,Estimate number of Internet of things(IoT) connected devices worldwide  (billion),Number of papers on social robtot navigation over years (visual estimate),Annual increase in number of vehicles equipped with hardware for fully autonomous driving,Global annual installations of industrial robots (1000units),Industrial robtot items pick and place per hour improvement (unit) (visual estimate),Annual volumn of data generated from connected autonomous vehicle ( in PBs),Fully autonomous car shipment forcast in the US (1000 units),Fully autonomous car shipment forecast in the world (1000 units),Estimated global installed based of cars with self-driving features (All levels) (millions car on the road) (visual estimate),Percentage of driver afraid to drive in fully autonomous vehicle,Number of accident reported in autonomous vehicle over years,LIDAR sensor technology prices over years (USD logarithmic scale),Asia pacific automotive sensor volumn forecast (annual growth rate),worldwide annual supply of industrial robots (1000 units) 2016-2019 forcast,Global self driving minutes forecast (billions),Number of patent application of autonomous vehicles over years
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,67.0,,,,,,,,68659.0,,,,,,,,,,,,,,,,,,,,,120.0,,
2006,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,
2007,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,80000.0,,114.0,,743.0
2008,,71.0,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,113.0,,691.0
2009,,62.0,,,,,,,,,,,,,,60.0,79.0,,,,,,,,,,,,,,60.0,,690.0
2010,,77.0,,,,,,,,46150.0,,,,,,121.0,101.0,,,,121.0,,,,,,,,,,121.0,,743.0
2011,,80.0,,,,,17425.0,,,,,,,,,166.0,124.0,,3333.0,,166.0,,,,,,,,,,166.0,,1008.0
2012,,84.0,,,,,52607.0,,,,,,,,,159.0,139.0,,6664.0,,159.0,,,,,,,,,,159.0,,1223.0
2013,,87.0,,,,,97507.0,,,,16.0,,,65.0,6.0,178.0,156.0,,6330.0,,178.0,,,,,,,,,,178.0,,1337.0
2014,,90.0,474.0,62.0,167.0,20.0,122438.0,,,31776.0,20.0,,,60.0,7.0,221.0,177.0,,4331.0,,221.0,,,,,,,,8000.0,,221.0,,1781.0
2015,,91.0,1116.0,89.0,604.0,24.0,116099.0,,1.72,,38.0,3030.0,,53.0,10.0,254.0,210.0,,4831.0,,254.0,25.0,159951.0,,104.0,,,,,,254.0,,1890.0
