Years,Number of R&D firms active in biotechnology (USA),Number of R&D firms active in biotechnology (France),Number of biotech firms active (Germany),Number of biotech firms active (Spain),Total U.S. pharmaceutical and biotech revenues for products 5 years after launch from 2007 to 2019 (in billion U.S. dollars),Production value of the biotech industry in Spain (millions euros),Production value of the biotechnology industry as a share of GDP in Spain from 2010 to 2018 (percentage),Value of the NASDAQ biotech Index (2000-2018),Market size of the biotechnology in the UK in £ million (visual estimation on chart),Number of businesses in global biotechnology over time (visual esstimation on chart),Estimate market for high throughput screening systems (USD billion),Capital invested (USD billion) for US biotech startups ,Number of deals closed for US biotech startups ,The cost saving (USD billion) of the generic drug prices over time (visual estimation on chart),Saving through generic drug usage in the United states from 2008 to 2019 (in billions USD),Average year to year change in pricing of mature generic drugs (Percentage) (visual estimate),Average R&D expense (million USD),The annual value of acquisitions of American biotech and pharmaceutical companies (billion USD) (visual estimation),The projected volumetric capacity needed to meet annual commercial and clinical demand for all product types produced using mammalian-cell systems (1000L) (visual estimation on chart),Estimated manufacturing capacity for products based on manmmalian-cell culture (1000L) (visual estimation on chart),Total number of Human Genomes sequenced (visual estimation on chart - log),Cost per base of the gene synthesis (USD)(visual estimation),Number of published articles regarding biomedical engineering in Turkey (Scopus) (visual estimation on chart),Number of publications with biofilms in the title of the articles (google scholar) (visual estimation on chart),Number of mentions of high-throughput dna sequencing (google scholar)
2001,,,,,,,,,,,,,,,,,,0.7407407407407407,,,,,0.2708333333333333,,
2002,,,,,,,,,,,,,,,,,,0.9629629629629629,,,,,0.3958333333333333,,0.20110344827586207
2003,,,,,,,,,,,,,,,,,,0.37037037037037035,,,,0.08333333333333333,0.4166666666666667,,0.16747496385815488
2004,,,,,,,,,,,0.8341641741442339,,,0.5172413793103449,,,,0.2222222222222222,,,,0.24878554310512335,0.6041666666666666,,0.32
2005,,,,,,,,0.271617672339694,,,0.8966434031239615,,,0.5517241379310345,,,,0.7111111111111111,,,,0.5,0.5416666666666666,0.40268456375838924,0.39980849148747594
2006,,,0.7950937950937951,,,,,0.26952830615942774,,,0.9637753406447325,,,0.6206896551724138,,,,0.7703703703703704,,,0.3180808366666667,0.4624004145346199,0.75,0.348993288590604,0.43310344827586206
2007,,,0.847041847041847,,0.3233082706766917,,,0.3320523988225015,,,1.0362246593552675,,,0.7241379310344828,,,,0.9629629629629629,,,0.3180808366666667,0.5970917805557352,0.75,0.3624161073825503,0.6100406331528507
2008,,0.5674814027630181,0.8556998556998557,0.4268160462594868,0.42105263157894735,,,0.39718746916152925,,,1.1139913592555666,0.6222222222222222,0.5899814471243042,0.896551724137931,0.490299823633157,,,1.4814814814814814,,,0.6666666666666666,0.7503724334477619,0.875,0.6711409395973155,0.5075862068965518
2009,,0.732731137088204,0.9307359307359307,0.5496928080954102,0.40601503759398494,,,0.464933517176511,,,1.1977401129943503,0.8444444444444444,0.6567717996289425,1.103448275862069,0.5956160241874529,,,2.4,,,1.3333333333333333,0.9222423732107,0.9166666666666666,0.7785234899328859,0.7981713888542791
2010,,0.8666312433581297,0.9567099567099567,0.6198048427900253,0.9398496240601504,0.8122390396659708,0.8571428571428572,0.33350524325253567,,,1.2861415752741778,0.9333333333333333,0.7829313543599258,1.206896551724138,0.672713529856387,,,1.1111111111111112,,,2.0,1.0,1.0833333333333333,0.8053691275167785,0.6372413793103449
2011,,0.8703506907545164,0.9783549783549783,1.0932417780990242,0.8947368421052632,0.9183194154488518,1.0,0.6082585462343368,0.8159203980099502,0.8961038961038961,1.3800503252148322,0.8888888888888888,0.8237476808905381,1.3103448275862069,0.7719828672209624,,,0.7555555555555555,,,3.1326466693333335,1.25,1.2083333333333333,0.9932885906040269,0.9642007585917614
2012,,1.0329436769394262,1.0,1.1095048789302493,1.0,0.9192327766179541,1.0,0.6838375272771807,0.845771144278607,0.9090909090909091,1.4792764563452505,0.8888888888888888,0.935064935064935,1.4482758620689655,0.8405139833711264,,,0.8148148148148148,,,4.429252838000002,1.6666666666666667,1.1875,1.0201342281879195,0.9517241379310345
2013,,1.0010626992561105,1.0101010101010102,1.023129743404409,1.0676691729323307,0.8308977035490606,0.8571428571428572,0.7620274859959788,0.8855721393034826,0.922077922077922,1.5838199686654328,1.0666666666666667,1.0649350649350648,1.6551724137931034,0.9816074577979341,,,2.074074074074074,,,5.985339603333335,1.7956150009715663,1.0833333333333333,1.0067114093959733,1.1081287423652975
2014,1.0433255269320842,0.9590860786397449,1.0245310245310246,0.9844597036501627,1.9172932330827066,1.0,1.0,0.8428284223907307,0.9154228855721394,0.935064935064935,1.6936808621753792,1.5555555555555556,1.2207792207792207,1.8333333333333341,1.018392542202066,2.0,,3.037037037037037,,,7.7891248220000024,2.060431375089061,1.375,1.1275167785234899,1.3379310344827586
2015,1.3341139734582357,1.0,1.0476190476190477,1.0773400795084929,1.8721804511278193,1.145224425887265,1.142857142857143,1.2171222279525529,0.9751243781094527,0.987012987012987,1.80885913687509,2.533333333333333,1.3024118738404453,2.0239289446186,1.1111111111111112,2.3529411764705883,,3.7777777777777777,,,9.840608494000003,2.3438370360774674,1.7083333333333333,1.1409395973154361,1.229955340174887
