Years,Number of R&D firms active in biotechnology (USA),Number of R&D firms active in biotechnology (France),Number of biotech firms active (Germany),Number of biotech firms active (Spain),Total U.S. pharmaceutical and biotech revenues for products 5 years after launch from 2007 to 2019 (in billion U.S. dollars),Production value of the biotech industry in Spain (millions euros),Production value of the biotechnology industry as a share of GDP in Spain from 2010 to 2018 (percentage),Value of the NASDAQ biotech Index (2000-2018),Market size of the biotechnology in the UK in £ million (visual estimation on chart),Number of businesses in global biotechnology over time (visual esstimation on chart),Estimate market for high throughput screening systems (USD billion),Capital invested (USD billion) for US biotech startups ,Number of deals closed for US biotech startups ,The cost saving (USD billion) of the generic drug prices over time (visual estimation on chart),Saving through generic drug usage in the United states from 2008 to 2019 (in billions USD),Average year to year change in pricing of mature generic drugs (Percentage) (visual estimate),Average R&D expense (million USD),The annual value of acquisitions of American biotech and pharmaceutical companies (billion USD) (visual estimation),The projected volumetric capacity needed to meet annual commercial and clinical demand for all product types produced using mammalian-cell systems (1000L) (visual estimation on chart),Estimated manufacturing capacity for products based on manmmalian-cell culture (1000L) (visual estimation on chart),Total number of Human Genomes sequenced (visual estimation on chart - log),Cost per base of the gene synthesis (USD)(visual estimation),Number of published articles regarding biomedical engineering in Turkey (Scopus) (visual estimation on chart),Number of publications with biofilms in the title of the articles (google scholar) (visual estimation on chart),Number of mentions of high-throughput dna sequencing (google scholar)
2001,,,,,,,,,,,,,,,,,,50.0,,,,,65.0,,
2002,,,,,,,,,,,,,,,,,,65.0,,,,,95.0,,7290.0
2003,,,,,,,,,,,,,,,,,,25.0,,,,6.0,100.0,,
2004,,,,,,,,,,,1.255,,,75.0,,,,15.0,,,,,145.0,,11600.0
2005,,,,,,,,790.0,,,1.349,,,80.0,,,,48.0,,,,1.0,130.0,300.0,
2006,,,551.0,,,,,,,,1.45,,,90.0,,,,52.0,,,0.477121255,,180.0,260.0,15700.0
2007,,,587.0,,4.3,,,,,,1.559,,,105.0,,,,65.0,,,0.477121255,,180.0,270.0,
2008,,1068.0,593.0,1181.0,5.6,,,,,,1.676,1.4,159.0,130.0,97.3,,,100.0,,,1.0,,210.0,500.0,18400.0
2009,,1379.0,645.0,1521.0,5.4,,,,,,1.802,1.9,177.0,160.0,118.2,,,162.0,,,2.0,,220.0,580.0,
2010,,1631.0,663.0,1715.0,12.5,6225.0,0.6,970.0,,,,2.1,211.0,175.0,133.5,,,75.0,,,3.0,0.5,260.0,600.0,23100.0
2011,,1638.0,678.0,3025.0,11.9,7038.0,0.7,,8200.0,6900.0,,2.0,222.0,190.0,153.2,,,51.0,,,4.698970004,0.4,290.0,740.0,
2012,,1944.0,693.0,3070.0,13.3,7045.0,0.7,,8500.0,7000.0,,2.0,252.0,210.0,166.8,,,55.0,,,,0.3,285.0,760.0,34500.0
2013,,1884.0,700.0,2831.0,14.2,6368.0,0.6,,8900.0,7100.0,,2.4,287.0,240.0,194.8,,,140.0,,,,,260.0,750.0,
2014,2673.0,1805.0,710.0,2724.0,25.5,7664.0,0.7,,9200.0,7200.0,,3.5,329.0,,202.1,17.0,,205.0,,,,,330.0,840.0,48500.0
2015,3418.0,1882.0,726.0,2981.0,24.9,8777.0,0.8,3540.0,9800.0,7600.0,,5.7,351.0,,220.5,20.0,,255.0,,,,,410.0,850.0,
2016,2562.0,2011.0,752.0,2767.0,9.7,8787.0,0.8,2773.0,10300.0,7800.0,,5.6,346.0,,242.6,0.0,185.0,70.0,,,,,480.0,1000.0,57800.0
2017,1772.0,2082.0,787.0,,32.3,9315.0,0.8,3357.0,11400.0,8000.0,,9.0,402.0,,265.1,-7.0,191.0,90.0,,,,,475.0,1000.0,57500.0
2018,2470.0,2083.0,820.0,,27.4,9861.0,0.8,3044.0,12100.0,8200.0,,,,,292.6,,232.0,100.0,2500.0,4400.0,,,425.0,950.0,54500.0
2019,,,,,23.8,,,,13000.0,8600.0,,,,,313.1,,283.0,,2549.0,4712.0,,,,,48800.0
2020,,,,,,,,,13900.0,8800.0,,,,,,,,,2973.0,5362.0,,,,,38000.0
2021,,,,,,,,,,,,,,,,,,,3185.0,5850.0,,,,,
2022,,,,,,,,,,,,,,,,,,,3715.0,6175.0,,,,,
2023,,,,,,,,,,,,,,,,,,,4240.0,6400.0,,,,,
