Year ,IBM revenue worldwide on cloud and cognitive software segment in billion USD,Global PC penetration per capita from 2000 to 2015 (in percentage),Cloud system management software revenue worldwide from 2010 to 2015 (in millions USD),Forecast total quantum computer revenue (Million USD) (visual estimate),Estimate quantum computing marketsize (million USD) visual estimate,Forecast sales of notebook 2021 to 2025 (Million units),Information technology (IT) spending on enterprise software worldwide from 2009 to 2022 (billion USD), Market of SaaS industry (in billion USD) forcast 2018-2020,Number of deals in quantum computing by quantum technology firms from private investors ,Number of deals in quantum communication by quantum technology firms from private investors,Number of deals in quantum software by quantum technology firms from private investors,Total value of deals (million USD) by quantum technology firms from private investors ,Number of qubits achieved in quantum computers from 1998-2019,Number of hyperscale data centre worldwide over time,Cloud computing traffic forecast (EB per year),Max computer RAM capacity over years (in MB),USD per GB of DRAM over years (visual estimation),Seagate's average capacity of hard disk drives (HDDs) worldwide over years (TB),USD per TB of Enterprise SSD thorugh years (visual estimate),Unadjusted Consumer Price Index for computer software and accessories expenditure in the U.S. from 2003 to 2017 (CPI-W),Share of household with a computer at home worldwide from 2005 to 2009 (percentage),Publications with the word 'quantum computing' in full text search worldwide,Publications with the word 'process computing' in full text search worldwide,Publications with the word 'cloud computing' in full text search worldwide
1990,,,,,,,,,,,,,,,,,0.000425,,,,,,,
1991,,,,,,,,,,,,,,,,,0.051201014790350795,,,,,,,
1992,,,,,,,,,,,,,,,,,0.08554249952558514,,,,,,,
1993,,,,,,,,,,,,,,,,,0.1198839842608195,,,,,,,
1994,,,,,,,,,,,,,,,,,0.15422546899605383,,,,,,,
1995,,,,,,,,,,,,,,,,,0.009444444444444445,,,,,,,
1996,,,,,,,,,,,,,,,,,0.22290843846652256,,,,,,,
1997,,,,,,,,,,,,,,,,,0.2572499232017569,,,,,,,
1998,,,,,,,,,,,,,0.07142857142857142,,,,0.29159140793699123,,,,,,,
1999,,,,,,,,,,,,,0.017039856695028846,,,,0.3259328926722256,,,,,,,
2000,,0.4,,,,,,,,,,,0.42857142857142855,,,,0.85,,,,,,,
2001,,0.5333333333333333,,,,,,,,,,,0.26719659650694116,,,,0.39461586214269423,,,,,,,
2002,,0.5333333333333333,,,,,,,,,,,0.3922749664128973,,,,0.42895734687792864,,,,,,,
2003,,0.6666666666666666,,,,,,,,,,,0.5173533363188535,,,,0.463298831613163,,,0.6848341232227488,,,,
2004,,0.6666666666666666,,,,,,,,,,,0.6424317062248096,,,,0.49764031634839734,,,0.7225,,,,
2005,,0.8,,,,,,,,,,,0.7675100761307658,,,,1.2142857142857144,,,0.755226480836237,0.6642335766423357,,,
2006,,0.8,,,,,,,,,,,0.42857142857142855,,,0.032,1.682609842218671,,,0.8210227272727274,0.7104622871046228,,,
2007,,0.9333333333333333,,,,,,,,,,,1.017666815942678,,,0.064,2.8332378833537106,,,0.875934532228733,0.7493917274939172,,,
2008,,1.0666666666666667,,,,,,0.0879886057920557,,,,,1.0,,,0.144,3.98386592448875,,,0.8787755929454694,0.8077858880778589,,,
2009,,1.2,,,,,0.7091509433962264,0.12802658648520335,,,,,1.2678235557545903,,,0.256,5.134493965623789,,,0.8990045624222315,0.8613138686131386,,,
2010,,1.3333333333333333,0.15896768175369727,,,,0.7693081761006288,0.21205887007437887,,,,,1.3929019256605466,,,0.384,4.25,,,1.0,0.9075425790754257,,,
2011,,1.4666666666666666,0.2930602250422683,,,,0.8459119496855346,0.3356543756923564,,,,,1.517980295566503,,,0.5,21.816367703345833,,,1.0195202257761053,0.953771289537713,,,
2012,,1.6,0.47029558660629267,,,,0.8962264150943396,0.5236588067732237,0.5,0.0,0.0,0.6865671641791045,1.643058665472459,,,1.0,37.34761339993284,,,1.1013719512195124,1.0,0.7440466137476778,0.7524846053671084,0.48427856602471364
2013,,1.8666666666666667,0.6980974405814564,,,,0.9339622641509434,0.7472701376800127,0.0,1.0,0.0,0.08955223880597014,1.768137035378415,,,1.5,52.87885909651985,,0.4,1.1805555555555556,1.0413625304136251,0.8435512019366098,0.8747470301976501,0.7011666644545611
2014,,2.0,0.8904522222438153,,,,0.9748427672955975,1.0,2.0,0.6666666666666666,1.0,1.0,1.8932154052843713,,,1.5,68.41010479310685,,0.6923076923076923,1.2038322688142185,1.0681265206812651,1.2035129201148456,0.9833012874855253,1.0016458065115539
2015,,2.2666666666666666,1.1095477777561848,,0.5454545454545454,,0.9748427672955975,1.091944927994936,1.0,1.3333333333333333,1.0,0.26865671641791045,2.0182937751903274,0.6211031175059952,,2.0,85.0,0.5263157894736842,0.8999999999999999,1.21872364351982,1.0900243309002433,0.8682091988965828,0.9248612048036305,0.7563542731242451
2016,,2.1299999999999994,1.3778494665448822,,0.6818181818181818,,1.0251572327044025,1.3768001266023104,1.0,2.3333333333333335,0.6666666666666666,1.2835820895522387,2.1433721450962837,0.8105515587529976,0.6684749849306811,3.0,99.47259618628085,0.631578947368421,1.5,1.2543402777777777,1.1143552311435523,0.9247311827956989,1.0,0.8499927000517633
2017,,2.2472549019607837,1.6262121771576268,,0.7272727272727273,,1.1603773584905661,1.677480614021206,5.0,0.3333333333333333,1.6666666666666667,4.149253731343284,1.7857142857142858,0.9256594724220624,0.8342374924653405,4.0,115.00384188286787,0.8947368421052632,1.7999999999999998,1.3692356285533798,1.1289537712895377,1.0,1.12172852777888,1.0
2018,0.9702927042376583,2.364509803921568,2.166430223293235,,0.9090909090909091,,1.3176100628930818,1.9623358126285806,3.0,2.3333333333333335,4.666666666666667,2.582089552238806,1.75,1.0743405275779376,1.0,4.0,130.53508757945488,1.0,2.25,1.3792817703938456,1.143552311435523,1.219838991161403,1.2785355348169418,1.210915413508886
2019,1.0,2.4817647058823518,2.8928620012826243,,1.0909090909090908,,1.5,2.2313657224244343,3.9694998928103264,2.19047619047619,3.7142857142857135,3.4498933901918964,3.7857142857142856,1.20863309352518,1.1612417118746232,3.8513846153846143,146.06633327604186,4.3144671143283615,1.6789407313997478,1.426818011941872,1.145985401459854,1.2646512413443676,1.3782552388648195,1.3740493476500804
2020,1.0214067278287462,2.5990196078431365,2.693596595215424,0.5,1.3636363636363635,,1.6635220125786163,2.4845703434087674,4.358328438501293,2.4523809523809517,4.321428571428571,3.953091684434967,2.643685624720108,1.4316546762589928,1.334840265220012,4.199604395604394,161.59757897262887,5.2631578947368425,1.0,1.4743542534898983,1.2502606882168925,1.6017564600574228,1.6115069244283153,1.6539028177800195
2021,1.0483471676132228,2.7162745098039207,2.970909161577099,0.5,1.8181818181818181,1.0101656626506024,1.8836477987421383,2.5266169184510683,4.747156984192259,2.7142857142857135,4.928571428571427,4.456289978678038,2.768763994626064,1.5515587529976025,1.4976793248945146,4.547824175824175,177.12882466921587,7.789473684210527,1.9999684741488022,1.5218904950379248,1.2866527632950993,1.479359405005411,1.58065362707291,1.6168670096904971
2022,1.0739041794087667,2.8335294117647045,3.2482217279387746,0.6,2.24,0.9856927710843373,2.1037735849056602,2.735263786695974,5.135985529883223,2.9761904761904754,5.535714285714284,4.959488272921107,2.8938423645320204,1.7057211373758143,1.663652802893309,4.896043956043955,192.66007036580288,10.105263157894736,2.160482345523329,1.569426736585951,1.3230448383733056,1.560335779116391,1.6762194557376504,1.7395225096484674
2023,1.099461191204311,2.950784313725489,3.52553429430045,1.0,2.2238961038961036,0.9894578313253012,1.9305055636187711,2.9439106549408804,5.5248140755741915,3.2380952380952372,6.1428571428571415,5.4626865671641776,3.018920734437977,1.8598835217540262,1.8296262808921038,5.2442637362637345,208.19131606238986,10.617572926708556,2.3209962168978566,1.6169629781339774,1.359436913451512,1.641312153227371,1.7717852844023907,1.8621780096064375
2024,1.1250182029998548,3.0680392156862735,3.8028468606621253,1.7,2.457640692640693,1.0,2.0283031308314325,3.1525575231857856,5.913642621265158,3.499999999999999,6.749999999999999,5.965884861407249,3.1439991043439335,2.014045906132238,1.995599758890898,5.592483516483515,223.72256175897692,12.193349379803603,2.4815100882723837,1.664499219682004,1.3958289885297184,1.722288527338351,1.8673511130671308,1.9848335095644076
2025,1.1505752147953987,3.1852941176470577,4.080159427023801,2.6,2.691385281385281,1.0297439759036144,2.126100698044094,3.3612043914306913,6.302471166956121,3.7619047619047605,7.357142857142856,6.469083155650318,3.269077474249889,2.16820829051045,2.1615732368896925,5.940703296703295,239.2538074555639,13.769125832898652,2.642023959646911,1.7120354612300301,1.4322210636079251,1.8032649014493305,1.9629169417318713,2.1074890095223777
2026,1.1761322265909429,3.3025490196078424,4.357471993385476,4.4,2.92512987012987,1.0190512048192775,2.2238982652567554,3.5698512596755974,6.691299712647091,4.023809523809522,7.964285714285712,6.972281449893388,3.3941558441558453,2.3223706748886617,2.327546714888487,6.288923076923075,254.7850531521509,15.344902285993701,2.802537831021438,1.7595717027780569,1.4686131386861316,1.8842412755603104,2.0584827703966115,2.230144509480348
