Year ,IBM revenue worldwide on cloud and cognitive software segment in billion USD,Global PC penetration per capita from 2000 to 2015 (in percentage),Cloud system management software revenue worldwide from 2010 to 2015 (in millions USD),Global cloud infrastructure service spend ( USD billion) Visual estimate,Forecast total quantum computer revenue (Million USD) (visual estimate),Estimate quantum computing marketsize (million USD) visual estimate,Forecast sales of notebook 2021 to 2025 (Million units),Information technology (IT) spending on enterprise software worldwide from 2009 to 2022 (billion USD), Market of SaaS industry (in billion USD) forcast 2018-2020,Number of deals in quantum computing by quantum technology firms from private investors ,Number of deals in quantum communication by quantum technology firms from private investors,Number of deals in quantum software by quantum technology firms from private investors,Total value of deals (million USD) by quantum technology firms from private investors ,Number of qubits achieved in quantum computers from 1998-2019,Number of hyperscale data centre worldwide over time,Cloud computing traffic forecast (EB per year),Max computer RAM capacity over years (in MB),USD per GB of DRAM over years (visual estimation),Seagate's average capacity of hard disk drives (HDDs) worldwide over years (TB),USD per TB of Enterprise SSD thorugh years (visual estimate),Unadjusted Consumer Price Index for computer software and accessories expenditure in the U.S. from 2003 to 2017 (CPI-W),Share of household with a computer at home worldwide from 2005 to 2009 (percentage),Publications with the word 'quantum computing' in full text search worldwide,Publications with the word 'process computing' in full text search worldwide,Publications with the word 'cloud computing' in full text search worldwide
1990,,,,,,,,,,,,,,,,,,2000000,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,90000,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,2,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,3,,,,,,,,,,,,12,,,,1000,,,,,,,
2001,,4,,,,,,,,,,,,,,,,,,,,,,,
2002,,4,,,,,,,,,,,,,,,,,,,,,,,
2003,,5,,,,,,,,,,,,,,,,,,,63.3,,,,
2004,,5,,,,,,,,,,,,,,,,,,,60,,,,
2005,,6,,,,,,,,,,,,,,,,700,,,57.4,27.3,,,
2006,,6,,,,,,,,,,,,12,,,64,,,,52.8,29.2,,,
2007,,7,,,,,,,,,,,,,,,128,,,,49.49,30.8,,,
2008,,8,,,,,,,5.56,,,,,28,,,288,,,,49.33,33.2,,,
2009,,9,,,,,,225.51,8.09,,,,,,,,512,,,,48.22,35.4,,,
2010,,10,409,,,,,244.64,13.4,,,,,,,,768,200,,,43.35,37.3,,,
2011,,11,754,,,,,269,21.21,,,,,,,,1000,,,,42.52,39.2,,,
2012,,12,1210,,,,,285,33.09,1,0,0,46,,,,2000,,,,39.36,41.1,26433,208594,36487
2013,,14,1796.1,,,,,297,47.22,0,3,0,6,,,,3000,,,2250,36.72,42.8,29968,242486,52828
2014,,15,2291,,,,,310,63.19,4,2,3,67,,,,3000,,,1300,36.01,43.9,42756,272578,75467
2015,,17,2854.7,,,600,,310,69,2,4,3,18,,259,,4000,10,1,1000,35.57,44.8,30844,256378,56986
2016,,,3545,,,750,,326,87,2,7,2,86,,338,2218,6000,,1.2,600,34.56,45.8,32852,277207,64041
2017,,,4184,,,800,,369,106,10,1,5,278,50,386,2768,8000,,1.7,500,31.66,46.4,35526,310951,75343
2018,22.21,,5573.9,,,1000,,419,124,6,7,14,173,49,448,3318,8000,,1.9,400,,47,43336,354419,91234
2019,22.89,,7442.9,,,1200,,477,141,,,,,106,504,3853,,,,,,47.1,44928,382062,103525
2020,23.38,,,103,250,1500,,529,157,,,,,,597,4429,,,10,900,,,56904,446721,124610
2021,,,,136,250,2000,268.3,599,,,,,,,,,,,14.8,,,,,,
2022,,,,,300,2464,261.8,669,,,,,,,,,,,19.2,,,,,,
2023,,,,,500,,262.8,,,,,,,,,,,,,,,,,,
2024,,,,,850,,265.6,,,,,,,,,,,,,,,,,,
2025,,,,,1300,,273.5,,,,,,,,,,,,,,,,,,
2026,,,,,2200,,,,,,,,,,,,,,,,,,,,
