Year ,IBM revenue worldwide on cloud and cognitive software segment in billion USD,Global PC penetration per capita from 2000 to 2015 (in percentage),Cloud system management software revenue worldwide from 2010 to 2015 (in millions USD),Forecast total quantum computer revenue (Million USD) (visual estimate),Estimate quantum computing marketsize (million USD) visual estimate,Forecast sales of notebook 2021 to 2025 (Million units),Information technology (IT) spending on enterprise software worldwide from 2009 to 2022 (billion USD), Market of SaaS industry (in billion USD) forcast 2018-2020,Number of deals in quantum computing by quantum technology firms from private investors ,Number of deals in quantum communication by quantum technology firms from private investors,Number of deals in quantum software by quantum technology firms from private investors,Total value of deals (million USD) by quantum technology firms from private investors ,Number of qubits achieved in quantum computers from 1998-2019,Number of hyperscale data centre worldwide over time,Cloud computing traffic forecast (EB per year),Max computer RAM capacity over years (in MB),USD per GB of DRAM over years (visual estimation),Seagate's average capacity of hard disk drives (HDDs) worldwide over years (TB),USD per TB of Enterprise SSD thorugh years (visual estimate),Unadjusted Consumer Price Index for computer software and accessories expenditure in the U.S. from 2003 to 2017 (CPI-W),Share of household with a computer at home worldwide from 2005 to 2009 (percentage),Publications with the word 'quantum computing' in full text search worldwide,Publications with the word 'process computing' in full text search worldwide,Publications with the word 'cloud computing' in full text search worldwide
1990,,,,,,,,,,,,,,,,,2000000.0,,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,90000.0,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,2.0,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,
2000,,3.0,,,,,,,,,,,12.0,,,,1000.0,,,,,,,
2001,,4.0,,,,,,,,,,,,,,,,,,,,,,
2002,,4.0,,,,,,,,,,,,,,,,,,,,,,
2003,,5.0,,,,,,,,,,,,,,,,,,63.3,,,,
2004,,5.0,,,,,,,,,,,,,,,,,,60.0,,,,
2005,,6.0,,,,,,,,,,,,,,,700.0,,,57.4,27.3,,,
2006,,6.0,,,,,,,,,,,12.0,,,64.0,,,,52.8,29.2,,,
2007,,7.0,,,,,,,,,,,,,,128.0,,,,49.49,30.8,,,
2008,,8.0,,,,,,5.56,,,,,28.0,,,288.0,,,,49.33,33.2,,,
2009,,9.0,,,,,225.51,8.09,,,,,,,,512.0,,,,48.22,35.4,,,
2010,,10.0,409.0,,,,244.64,13.4,,,,,,,,768.0,200.0,,,43.35,37.3,,,
2011,,11.0,754.0,,,,269.0,21.21,,,,,,,,1000.0,,,,42.52,39.2,,,
2012,,12.0,1210.0,,,,285.0,33.09,1.0,0.0,0.0,46.0,,,,2000.0,,,,39.36,41.1,26433.0,208594.0,36487.0
2013,,14.0,1796.1,,,,297.0,47.22,0.0,3.0,0.0,6.0,,,,3000.0,,,2250.0,36.72,42.8,29968.0,242486.0,52828.0
2014,,15.0,2291.0,,,,310.0,63.19,4.0,2.0,3.0,67.0,,,,3000.0,,,1300.0,36.01,43.9,42756.0,272578.0,75467.0
2015,,17.0,2854.7,,600.0,,310.0,69.0,2.0,4.0,3.0,18.0,,259.0,,4000.0,10.0,1.0,1000.0,35.57,44.8,30844.0,256378.0,56986.0
2016,,,3545.0,,750.0,,326.0,87.0,2.0,7.0,2.0,86.0,,338.0,2218.0,6000.0,,1.2,600.0,34.56,45.8,32852.0,277207.0,64041.0
2017,,,4184.0,,800.0,,369.0,106.0,10.0,1.0,5.0,278.0,50.0,386.0,2768.0,8000.0,,1.7,500.0,31.66,46.4,35526.0,310951.0,75343.0
2018,22.21,,5573.9,,1000.0,,419.0,124.0,6.0,7.0,14.0,173.0,49.0,448.0,3318.0,8000.0,,1.9,400.0,,47.0,43336.0,354419.0,91234.0
2019,22.89,,7442.9,,1200.0,,477.0,141.0,,,,,106.0,504.0,3853.0,,,,,,47.1,44928.0,382062.0,103525.0
2020,23.38,,,250.0,1500.0,,529.0,157.0,,,,,,597.0,4429.0,,,10.0,900.0,,,56904.0,446721.0,124610.0
2021,,,,250.0,2000.0,268.3,599.0,,,,,,,,,,,14.8,,,,,,
2022,,,,300.0,2464.0,261.8,669.0,,,,,,,,,,,19.2,,,,,,
2023,,,,500.0,,262.8,,,,,,,,,,,,,,,,,,
2024,,,,850.0,,265.6,,,,,,,,,,,,,,,,,,
2025,,,,1300.0,,273.5,,,,,,,,,,,,,,,,,,
2026,,,,2200.0,,,,,,,,,,,,,,,,,,,,
