,SingIndex Environment
2000,1.0435723192758413
2001,1.036700693521953
2002,1.0536479608584797
2003,1.057768416092108
2004,0.9939855570766238
2005,0.9857777492862596
2006,0.9901009961196529
2007,0.9858506359632137
2008,1.0192793653685552
2009,1.04295235257458
2010,1.069696720171308
2011,1.0896996716503629
2012,1.1007500918122037
2013,1.1763915510163576
2014,1.238796601833147
2015,1.2698897840131054
2016,1.3009829661930636
2017,1.332076148373022
2018,1.3631693305529802
2019,1.3942625127329384
2020,1.4253556949128967
2021,1.456448877092855
2022,1.4875420592728132
2023,1.5186352414527715
2024,1.5497284236327298
2025,1.580821605812688
2026,1.6119147879926463
2027,1.6430079701726046
2028,1.6741011523525628
2029,1.7051943345325211
2030,1.7362875167124794
