Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Alternative and nuclear energy (% of total energy use),Aquaculture production (metric tons),Arable land (% of land area),Arable land (hectares per person),Capture fisheries production (metric tons),Cereal production (metric tons),Cereal yield (kg per hectare),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CO2 intensity (kg per kg of oil equivalent energy use),Coal rents (% of GDP),Combustible renewables and waste (% of total energy),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),Electricity production from oil sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)","Energy imports, net (% of energy use)",Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Forest area (% of land area),Forest area (sq. km),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),Land area (sq. km),Land under cereal production (hectares),Methane emissions (kt of CO2 equivalent),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Mineral rents (% of GDP),Natural gas rents (% of GDP),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Oil rents (% of GDP),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Permanent cropland (% of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Rural population,Rural population (% of total population),Rural population growth (annual %),Surface area (sq. km),Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total fisheries production (metric tons),Total greenhouse gas emissions (kt of CO2 equivalent),Total natural resources rents (% of GDP),Urban population,Urban population (% of total population),Urban population growth (annual %),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
1971,,,36.96887266,38966564.07,2840961.467,1199396.692,2.706011973,3930472,10.01378349,0.303512339,63917908,1115215163,1976.432743,0.799362123,15913710.78,4.23178829,13.74788322,2231486.009,45.85346509,6896107.115,36.01597501,5852168.872,2.674848763,0.078451789,12.64148094,33.25829019,20.21225747,10.37864004,2.003932531,18.04487923,61.68180947,0.251915966,13198000000,-3.676597676,95.47094695,,,,0.252725218,84.45071748,129856719.7,564258870,5133798.699,1475412.515,0.196738315,0.011474937,2065702.937,134451.2193,0.511056459,3344271.53,0.784337505,,,28.95896928,18.09476406,15.79815344,,,,,,2377767005,63.25086846,1.819508695,131635290.3,,,67848380,25652776.28,1.050446718,1381496807,36.74913154,2.677274538,
1972,,,37.05108256,39053179.3,2871562.418,1251832.918,2.924086657,4280803,10.00772602,0.297040094,59670600,1087195614,1965.765548,0.792221279,16680140.79,4.347295292,13.81450979,2350296.911,47.14922355,7432506.554,34.56720629,5887317.648,2.670673547,0.073706129,12.33358702,31.73239709,19.72893633,10.09357593,2.51892839,19.82874409,61.65471711,0.247101996,14055000000,-3.230226003,95.75931402,,,,0.257927968,84.33545928,129856619.7,553063945,5348885.159,1513688.803,0.177925011,0.022528997,2220995.225,142200.2945,0.559505921,4074230.616,0.792798716,,,29.54720991,18.13293104,15.8931795,,,,10840.75193,37824.5091,2418101600,63.04335972,1.696322428,131635290.3,,,63951403,27508882.46,1.091594026,1417515045,36.95664028,2.607189377,29.42185954
1973,,,37.19047402,39200076.9,2911944.728,1290757.194,3.075137288,4504942,10.06375458,0.292661309,60227295,1137462946,1998.998294,0.783692394,17582029.2,4.493253113,13.54212847,2428529.962,47.89124836,7957675.007,33.80810217,6069322.39,2.674104574,0.073778986,11.92339859,31.61276503,18.59520858,9.377226765,3.119569338,21.18182947,62.17182126,0.263586281,16155000000,-3.414548687,97.24896709,,,,0.368379884,84.77311851,129856549.7,569014415,5409388.917,1578887.102,0.297435584,0.052365278,2265472.4,150908.9062,0.723976252,3949960.033,0.806046293,,,30.1331306,18.16996713,15.99907487,,,,,,2456842164,62.80801197,1.602106545,131635290.3,,,64732237,28423385.49,1.515935983,1454827837,37.19198803,2.632267794,
1974,,,37.27367235,39287595.7,2915398.218,1257337.91,3.586210763,4941524,10.03099095,0.28596958,63470416,1127199866,1980.466583,0.767971919,17563629.93,4.403581722,13.73402686,2459300.411,47.68235201,7914673.268,33.87520105,6075065.154,2.642018678,0.155889417,12.17984933,30.33426349,20.28586691,9.443168087,3.956452714,19.85252075,59.62995232,0.246677917,15382000000,-3.566624925,90.00595026,,,,0.322752651,84.14968302,129856079.7,569158990,5366478.598,1583765.917,0.416256668,0.398296499,2215856.853,153268.7838,2.839132526,3414709.912,0.816568492,,,30.7146754,18.20267884,16.11730574,,,,,,2493594794,62.54091175,1.495929634,131635290.3,,,68411940,27783247.44,4.132327761,1493546941,37.45908825,2.661421717,
1975,,,37.35700764,39375239.4,2979621.946,1338975.618,4.14738424,5219603,10.01884261,0.280222496,62941133,1210443643,2094.198266,0.765920578,17641960.09,4.342628818,13.71826959,2467434.203,47.11143123,7854782.739,34.84412293,6276737.618,2.614138413,0.418471959,12.36742151,30.56532139,20.04658395,9.148927994,5.339402341,18.74865791,58.4629073,0.269368562,17335000000,-2.141647042,99.28746144,,,,0.349594163,83.40228819,129855559.7,577997250,5490220.157,1602193.806,0.23384845,0.347183071,2306421.333,161613.0159,2.442320513,3679443.28,0.826566757,,,31.28481396,18.13798859,16.20020119,,,,,,2530673774,62.31450534,1.486968937,131635290.3,,,68160736,28245747.25,3.791418154,1530457371,37.68549466,2.47132708,
1976,,,37.35817126,39376387.43,2992540.357,1364746.832,4.162020499,5408491,10.06721962,0.276443775,66328026,1238538558,2102.955404,0.765463519,18580873.04,4.493090892,13.79235169,2612520.876,47.08842436,8268777.735,34.48225613,6542134.073,2.609313973,0.428425861,11.95257325,31.4163542,18.46375936,8.659721482,5.754854689,19.54435994,59.62043562,0.277427185,19119000000,-1.547585706,98.17010695,70.95354283,,,0.325911212,83.80503982,129855349.7,588954609,5636322.636,1673322.319,0.230677413,0.3469261,2388852.137,170618.2971,2.689551452,3907402.898,0.840511324,,,31.8464528,18.1508332,16.31875699,,,,,,2565599507,62.06057038,1.380096216,131635290.3,,,71736517,29669095.51,4.021492038,1568425508,37.93942962,2.480835972,
1977,,,37.36135804,39379694.07,3022537.342,1427819.807,4.513245375,6282015,10.05772188,0.271278728,65083617,1254554130,2151.862579,0.759842538,19183226.42,4.558982918,13.57737183,2655363.767,47.45225061,8602793.769,34.44062298,6746079.554,2.597737901,0.401432189,11.8017124,31.28068134,18.06770057,8.571703317,6.781735962,19.13459392,58.98697858,0.282084404,20379000000,-1.680349868,97.87171897,76.67552753,,,0.379030004,83.4571702,129855209.7,583008670,5783159.073,1705640.581,0.228091599,0.32990146,2500861.937,178235.0254,2.636787797,4354399.515,0.853798379,,,32.40367816,18.16098188,16.44531798,,,,9852.613813,37824.5091,2599582989,61.80141433,1.324582496,131633170.3,,,71365632,30900189.24,3.975243049,1606765720,38.19858567,2.444503217,4.577088009
1978,,,37.50730284,39533523.1,3002825.727,1446191.645,4.878370632,6593363,10.13754453,0.268580591,67115747,1343389391,2313.03451,0.759114532,19921141.71,4.653016254,13.75651795,2792921.231,47.48253872,8939417.067,34.19516519,6955641.704,2.593884044,0.295110014,11.64143095,30.5742971,18.39293343,8.368875602,7.559902319,18.94802959,57.8912023,0.274378391,20905000000,0.449997083,97.36530522,82.14838973,,,0.351943869,83.27090605,129855209.7,580794013,5782389.024,1749072.52,0.134263274,0.286540452,2527994.656,186677.5021,2.274097467,4288364.039,0.865446343,,,32.97010099,18.14014358,16.58039034,,,,,,2630653393,61.46571413,1.195207236,131633170.3,,,73709110,31442011.28,3.341955076,1649217794,38.53428587,2.642082381,
1979,,,37.57619824,39606129.1,3039479.458,1538543.274,4.968432114,6714748,10.17555888,0.264765599,67583580.5,1350873051,2347.330808,0.74851558,20459807.6,4.696086391,14.11483009,2943150.714,46.98050555,9084065.873,34.57890888,7223724.354,2.601727672,0.267512994,11.58351044,31.4239933,18.59987553,8.79379628,7.455759481,17.54020242,57.757992,0.30259871,24098000000,-1.473176795,95.77642559,87.11071205,,,0.368285843,83.34838382,129855179.7,575497766,5959259.854,1801091.765,0.210555205,0.690172293,2685624.988,190916.3894,3.920699434,4893492.236,0.878474766,,,33.5510557,18.08718259,16.71679647,,,,,,2659389683,61.06129606,1.092363216,131635210.3,,,74298328.5,32923407.15,5.457225769,1695889127,38.93870394,2.829907194,
1980,,,37.71651813,39753927.48,3072596.43,1570804.161,5.284379765,7347225,10.20780693,0.260889286,68257270,1353568870,2314.048931,0.732549384,20396427.12,4.601081514,14.58109163,3030954.655,45.44985306,8760877.847,35.84460171,7464945.327,2.585225707,0.342337588,11.90207025,32.97190861,18.27278176,8.922660442,7.810296196,15.78993998,57.68450903,0.349391458,28647000000,-0.861849891,95.32513328,89.02292696,,,0.364002622,82.69029402,129854909.7,584934803,5997921.796,1780131.379,0.297381715,0.652448509,2707871.068,190873.7091,4.474328984,4927594.484,0.893777899,,,34.13782092,18.04348994,16.85858987,,,,,,2687679580,60.65033703,1.063774037,131635200.3,,,75604495,32794095.69,6.130499419,1743754296,39.34966297,2.822423249,
