id,indicator,datapoints,domain,improvement,weight
0,Access to clean fuels and technologies for cooking (% of population),17,,1,
1,Access to electricity (% of population),22,,1,
2,Agricultural land (% of land area),48,,0,
3,Agricultural land (sq. km),48,,1,
4,Agricultural methane emissions (thousand metric tons of CO2 equivalent),48,,-1,
5,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),48,,-1,
6,Alternative and nuclear energy (% of total energy use),45,,1,
7,Aquaculture production (metric tons),45,,0,
8,Arable land (% of land area),48,,0,
9,Arable land (hectares per person),48,,1,
10,Capture fisheries production (metric tons),45,,-1,
11,Cereal production (metric tons),48,,0,
12,Cereal yield (kg per hectare),48,,1,
13,CO2 emissions (kg per 2010 US$ of GDP),48,,0,
14,CO2 emissions (kt),48,,-1,
15,CO2 emissions (metric tons per capita),48,,-1,
16,CO2 emissions from gaseous fuel consumption (% of total),46,,0,
17,CO2 emissions from gaseous fuel consumption (kt),46,,0,
18,CO2 emissions from liquid fuel consumption (% of total),46,,0,
19,CO2 emissions from liquid fuel consumption (kt),46,,0,
20,CO2 emissions from solid fuel consumption (% of total),46,,0,
21,CO2 emissions from solid fuel consumption (kt),46,,0,
22,CO2 intensity (kg per kg of oil equivalent energy use),45,,0,
23,Coal rents (% of GDP),49,,-1,
24,Combustible renewables and waste (% of total energy),45,,1,
25,Electricity production from coal sources (% of total),45,,0,
26,Electricity production from hydroelectric sources (% of total),45,,1,
27,Electricity production from natural gas sources (% of total),45,,0,
28,Electricity production from nuclear sources (% of total),45,,1,
29,Electricity production from oil sources (% of total),45,,0,
30,"Electricity production from oil, gas and coal sources (% of total)",45,,-1,
31,"Electricity production from renewable sources, excluding hydroelectric (% of total)",45,,0,
32,"Electricity production from renewable sources, excluding hydroelectric (kWh)",45,,1,
33,"Energy imports, net (% of energy use)",45,,0,
34,Fertilizer consumption (% of fertilizer production),48,,0,
35,Fertilizer consumption (kilograms per hectare of arable land),43,,1,
36,Forest area (% of land area),27,,0,
37,Forest area (sq. km),27,,0,
38,Forest rents (% of GDP),49,,1,
39,Fossil fuel energy consumption (% of total),45,,-1,
40,Land area (sq. km),48,,0,
41,Land under cereal production (hectares),48,,0,
42,Methane emissions (kt of CO2 equivalent),48,,-1,
43,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),48,,0,
44,Mineral rents (% of GDP),49,,-1,
45,Natural gas rents (% of GDP),49,,-1,
46,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),48,,-1,
47,Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),48,,0,
48,Oil rents (% of GDP),49,,-1,
49,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",46,,-1,
50,Permanent cropland (% of land area),48,,1,
51,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",12,,0,
52,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",12,,-1,
53,Population density (people per sq. km of land area),48,,0,
54,Population in the largest city (% of urban population),50,,0,
55,Population in urban agglomerations of more than 1 million (% of total population),50,,1,
56,Population living in slums (% of urban population),5,,-1,
57,Renewable electricity output (% of total electricity output),26,,1,
58,Renewable energy consumption (% of total final energy consumption),26,,1,
59,Renewable internal freshwater resources per capita (cubic meters),10,,1,
60,"Renewable internal freshwater resources, total (billion cubic meters)",10,,1,
61,Rural population,50,,0,
62,Rural population (% of total population),50,,0,
63,Rural population growth (annual %),50,,0,
64,Surface area (sq. km),48,,0,
65,Terrestrial and marine protected areas (% of total territorial area),3,,1,
66,Terrestrial protected areas (% of total land area),3,,1,
67,Total fisheries production (metric tons),45,,0,
68,Total greenhouse gas emissions (kt of CO2 equivalent),48,,-1,
69,Total natural resources rents (% of GDP),49,,1,
70,Urban population,50,,0,
71,Urban population (% of total population),50,,0,
72,Urban population growth (annual %),50,,0,
73,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",13,,1,
