,id,indicator,datapoints,domain,improvement,weight
0,0,Access to clean fuels and technologies for cooking (% of population),17,,1,
1,1,Access to electricity (% of population),22,,1,
3,3,Agricultural land (sq. km),48,,1,
4,4,Agricultural methane emissions (thousand metric tons of CO2 equivalent),48,,-1,
5,5,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),48,,-1,
6,6,Alternative and nuclear energy (% of total energy use),45,,1,
9,9,Arable land (hectares per person),48,,1,
10,10,Capture fisheries production (metric tons),45,,-1,
12,12,Cereal yield (kg per hectare),48,,1,
14,14,CO2 emissions (kt),48,,-1,
15,15,CO2 emissions (metric tons per capita),48,,-1,
23,23,Coal rents (% of GDP),49,,-1,
24,24,Combustible renewables and waste (% of total energy),45,,1,
26,26,Electricity production from hydroelectric sources (% of total),45,,1,
28,28,Electricity production from nuclear sources (% of total),45,,1,
30,30,"Electricity production from oil, gas and coal sources (% of total)",45,,-1,
32,32,"Electricity production from renewable sources, excluding hydroelectric (kWh)",45,,1,
35,35,Fertilizer consumption (kilograms per hectare of arable land),43,,1,
38,38,Forest rents (% of GDP),49,,1,
39,39,Fossil fuel energy consumption (% of total),45,,-1,
42,42,Methane emissions (kt of CO2 equivalent),48,,-1,
44,44,Mineral rents (% of GDP),49,,-1,
45,45,Natural gas rents (% of GDP),49,,-1,
46,46,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),48,,-1,
48,48,Oil rents (% of GDP),49,,-1,
49,49,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",46,,-1,
50,50,Permanent cropland (% of land area),48,,1,
52,52,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",12,,-1,
55,55,Population in urban agglomerations of more than 1 million (% of total population),50,,1,
56,56,Population living in slums (% of urban population),5,,-1,
57,57,Renewable electricity output (% of total electricity output),26,,1,
58,58,Renewable energy consumption (% of total final energy consumption),26,,1,
59,59,Renewable internal freshwater resources per capita (cubic meters),10,,1,
60,60,"Renewable internal freshwater resources, total (billion cubic meters)",10,,1,
68,68,Total greenhouse gas emissions (kt of CO2 equivalent),48,,-1,
69,69,Total natural resources rents (% of GDP),49,,1,
73,73,"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",13,,1,
