Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Agricultural land (sq. km),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Alternative and nuclear energy (% of total energy use),Arable land (hectares per person),Capture fisheries production (metric tons),Cereal yield (kg per hectare),CO2 emissions (kt),CO2 emissions (metric tons per capita),Coal rents (% of GDP),Combustible renewables and waste (% of total energy),Electricity production from hydroelectric sources (% of total),Electricity production from nuclear sources (% of total),"Electricity production from oil, gas and coal sources (% of total)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Fertilizer consumption (kilograms per hectare of arable land),Forest rents (% of GDP),Fossil fuel energy consumption (% of total),Methane emissions (kt of CO2 equivalent),Mineral rents (% of GDP),Natural gas rents (% of GDP),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Oil rents (% of GDP),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Permanent cropland (% of land area),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population in urban agglomerations of more than 1 million (% of total population),Population living in slums (% of urban population),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",Total greenhouse gas emissions (kt of CO2 equivalent),Total natural resources rents (% of GDP),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)"
1981,,,39773318.9,3027894.339,1523332.911,5.95285257,0.255995704,70308777.03,2458.030485,19879068.57,4.406638284,0.55226616,12.21870625,18.41303629,9.039647577,56.29768958,31835000000.0,87.8759593,0.2896035,81.67315369,5858004.267,0.203994253,0.398457154,2612070.208,3.364878545,4474453.73,0.901624028,,16.96607926,,,,,,31746296.04,4.809199611,
1982,,,39925312.3,3071454.176,1599160.904,6.322326688,0.253871038,72121092.74,2555.617541,19815965.25,4.314959591,0.61838667,12.5410083,18.93498327,9.641358926,55.06255788,40590000000.0,86.7384661,0.373670961,80.98839023,6275398.892,0.169339213,0.08533074,2781256.607,2.194662103,6097785.635,0.908299211,,17.05042464,,,,9002.138348,37824.5091,33745859.07,3.441389688,9.168631009
1983,,,40004627.8,3062602.597,1615048.292,6.885393628,0.25027548,71946274.38,2465.389716,20034812.12,4.286135321,0.351794371,12.68935919,19.03790939,10.4959583,54.0766085,45442000000.0,91.73588978,0.293547271,80.3109587,6126518.821,0.180897815,0.275113022,2756521.519,2.470283609,5638032.81,0.907769628,,17.15425649,,,,,,33241117.37,3.571636089,
1984,,,40305203.8,3035226.338,1603189.724,7.507469473,0.249968091,77654923.41,2716.849665,20636636.76,4.339077192,0.275461991,12.59014838,18.4009715,11.95944623,53.23029027,49706000000.0,95.50069693,0.231344211,79.76756586,5973200.541,0.129680125,0.299680856,2670803.622,2.435555401,4239805.768,0.916174208,,17.2696677,,,,,,31878367.24,3.371722584,
1985,,,40591354.57,3026622.056,1606894.309,8.269709845,0.248609921,79380107.45,2726.036788,21429383.16,4.428311744,0.297213002,12.4816645,17.85350226,13.65464147,52.08947341,54248000000.0,91.41950269,0.205763269,79.05676152,6025375.248,0.141273144,0.260717081,2672022.144,2.205315415,4164299.381,0.936906518,,17.39163233,,,,,,31931144.34,3.11028191,
1986,,,40601740.92,3043764.037,1624808.885,8.66902877,0.245115901,84935065.92,2718.433773,21729229.48,4.412252113,0.159788157,12.43228908,17.65534947,14.42641313,51.47330931,59693000000.0,93.33587146,0.228614961,78.75818184,6184970.687,0.099457373,0.108463017,2722859.061,0.923216998,4563713.931,0.963447481,,17.52191672,,,,,,32849036.78,1.519540507,
1987,,,40760853.6,3073432.281,1707141.46,8.828670599,0.240595744,85595380.51,2700.126523,22365639.63,4.461922924,0.068194828,12.29275323,16.88307047,14.80578687,51.8638859,63035000000.0,97.62494785,0.224772112,78.71931253,6449419.461,0.114336703,0.153222961,2904171.498,1.233480352,5402367.963,0.993793008,,17.65972739,,,,8228.488518,37824.5091,34762053.68,1.794006956,10.69126828
1988,,,40897037.0,3044655.328,1668898.675,9.084804667,0.235770399,89066596.23,2632.7948,23289432.35,4.565402665,0.092995816,12.02580068,16.63233102,15.29350621,51.62320314,65987000000.0,103.2349693,0.206892856,78.74699658,6276209.592,0.24820872,0.152156943,2765735.759,0.993992412,4446962.072,1.015750786,,17.79952977,,,,,,34184147.35,1.694246748,
1989,,,40995148.4,3102061.697,1708667.828,9.153488475,0.231798483,89603182.96,2781.659682,23699896.02,4.566474137,0.126826906,11.9741198,15.71175138,14.9043643,52.42268206,128193000000.0,103.5949439,0.216596543,78.72607376,6416172.961,0.204335693,0.159536707,2815144.209,1.452047027,4494111.637,1.027828895,,17.94875233,,,,,,34792835.4,2.159342877,
1990,,,40923990.6,3152440.0,1823710.0,8.048778794,0.227763434,86024297.41,2890.294997,20607832.06,3.902964422,0.162552655,8.992453571,17.92874203,16.9202764,61.94448278,156082000000.0,101.9527163,0.216470987,80.76166867,6898360.0,0.144508759,0.188086368,2332460.0,1.830816558,-1023697.04,1.050524509,95.31766821,18.10980659,,19.36203905,17.06715389,,,29848570.0,2.542435327,
