Date,Antiretroviral therapy coverage (% of people living with HIV),Births attended by skilled health staff (% of total),"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",Children (0-14) living with HIV,"Contraceptive prevalence, any methods (% of women ages 15-49)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Death rate, crude (per 1,000 people)","Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)","Life expectancy at birth, total (years)","Incidence of malaria (per 1,000 population at risk)",Lifetime risk of maternal death (%),Low-birthweight babies (% of births),"Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate, infant (per 1,000 live births)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, under-5 (per 1,000 live births)",Number of deaths ages 10-14 years,Number of deaths ages 15-19 years,Number of deaths ages 20-24 years,Number of infant deaths,Number of neonatal deaths,Number of maternal deaths,Number of deaths ages 5-9 years,Number of under-five deaths,"Nurses and midwives (per 1,000 people)",Out-of-pocket expenditure (% of current health expenditure),Out-of-pocket expenditure per capita (current US$),People practicing open defecation (% of population),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Physicians (per 1,000 people)",Prevalence of anemia among children (% of children ages 6-59 months),Prevalence of anemia among pregnant women (%),Prevalence of anemia among non-pregnant women (% of women ages 15-49),Prevalence of current tobacco use (% of adults),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of moderate or severe food insecurity in the population (%),"Prevalence of overweight (modeled estimate, % of children under 5)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)","Probability of dying among children ages 5-9 years (per 1,000)",Risk of catastrophic expenditure for surgical care (% of people at risk),Risk of impoverishing expenditure for surgical care (% of people at risk),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV
1971,,,,,,,,,,0.7616207998878328,,,,,,,,0.8919119010804851,,,,,,,,0.6961921853307761,0.792221613176614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8506208422692825,0.8309935411222108,,,
1972,,,,,,,,,,0.7678014243413384,,,,,,,,0.8992458348762579,,,,,,,,0.719347113933192,0.8107502535697778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8618280842571467,0.84344604754417,,,
1973,,,,,,,,,,0.7842583971375389,,,,,,,,0.9060481785183842,,,,,,,,0.7355106895842746,0.8248781735840268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8714316742126095,0.8550320974239869,,,
1974,,,,,,,,,,0.7918106998882561,,,,,,,,0.913492111614403,,,,,,,,0.753288534959251,0.8403891893839085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8810219767466263,0.8666246347636515,,,
1975,,,,,,,,,,0.8021016017531237,0.8698469415638217,,,,,,,0.9202035441713339,,,,,,,,0.7706672454724898,0.8535453010799324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8906126663654178,0.8782337222238903,,,
1976,,,,,,,,,,0.8136875716095472,0.9566260841731467,,,,,,,0.9265913901018435,,,,,,,,0.7896696891766899,0.8691600691785734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9004114845838435,0.8899908592117398,,,
1977,,,,,,,,,,0.8339297048122687,1.0434052267824716,,,,,,,0.9329869906715856,,,,,,,,0.8104410953756911,0.884700507697404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9102200835153473,0.9017965521563907,,,
1978,,,,,,,,,,0.8541114818313063,1.1301843693917966,,,,,,,0.9384304382411516,,,,,,,,0.8224675056961127,0.8907754604248282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9168589296783229,0.9084432697958503,,,
1979,,,,,,,,,,0.8681983202812096,1.2169635120011215,,,,,,,0.9438933664881005,,,,,,,,0.8359349602765778,0.8969301491512927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9235753152621654,0.9151677067853903,,,
1980,,,,,,,,,,0.8716911550680083,1.3037426546104465,0.22834058538391588,0.17436181764788952,,,,,0.948212905598734,,,,,,,,0.8489022440456017,0.9030245090095964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.930338301589631,0.9219069981419198,,,
