,id,indicator,domain,improvement,weight
0,0,Antiretroviral therapy coverage (% of people living with HIV),,1,
1,1,Births attended by skilled health staff (% of total),,1,
4,4,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,-1,
5,5,"Cause of death, by injury (% of total)",,-1,
6,6,"Cause of death, by non-communicable diseases (% of total)",,-1,
7,7,Children (0-14) living with HIV,,-1,
12,12,"Contraceptive prevalence, any methods (% of women ages 15-49)",,1,
13,13,Current health expenditure (% of GDP),,1,
14,14,Current health expenditure per capita (current US$),,1,
15,15,"Death rate, crude (per 1,000 people)",,-1,
21,21,"Hospital beds (per 1,000 people)",,1,
22,22,"Immunization, DPT (% of children ages 12-23 months)",,1,
23,23,"Immunization, measles (% of children ages 12-23 months)",,1,
24,24,"Immunization, HepB3 (% of one-year-old children)",,1,
25,25,"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",,-1,
26,26,"Incidence of HIV, all (per 1,000 uninfected population)",,-1,
27,27,"Incidence of tuberculosis (per 100,000 people)",,-1,
28,28,"Life expectancy at birth, total (years)",,1,
29,29,"Incidence of malaria (per 1,000 population at risk)",,-1,
30,30,Lifetime risk of maternal death (%),,-1,
31,31,Low-birthweight babies (% of births),,-1,
32,32,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,-1,
33,33,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",,-1,
35,35,"Mortality rate attributed to unintentional poisoning (per 100,000 population)",,-1,
37,37,"Mortality rate, infant (per 1,000 live births)",,-1,
38,38,"Mortality rate, adult, female (per 1,000 female adults)",,-1,
39,39,"Mortality rate, adult, male (per 1,000 male adults)",,-1,
40,40,"Mortality rate, under-5 (per 1,000 live births)",,-1,
41,41,Number of deaths ages 10-14 years,,-1,
42,42,Number of deaths ages 15-19 years,,-1,
44,44,Number of deaths ages 20-24 years,,-1,
45,45,Number of infant deaths,,-1,
46,46,Number of neonatal deaths,,-1,
47,47,Number of maternal deaths,,-1,
48,48,Number of deaths ages 5-9 years,,-1,
49,49,Number of under-five deaths,,-1,
50,50,"Nurses and midwives (per 1,000 people)",,1,
51,51,Out-of-pocket expenditure (% of current health expenditure),,-1,
52,52,Out-of-pocket expenditure per capita (current US$),,-1,
53,53,People practicing open defecation (% of population),,-1,
54,54,People using at least basic drinking water services (% of population),,1,
55,55,People using at least basic sanitation services (% of population),,1,
56,56,People using safely managed drinking water services (% of population),,1,
57,57,People using safely managed sanitation services (% of population),,1,
59,59,"Physicians (per 1,000 people)",,1,
63,63,Prevalence of anemia among children (% of children ages 6-59 months),,-1,
64,64,Prevalence of anemia among pregnant women (%),,-1,
65,65,Prevalence of anemia among non-pregnant women (% of women ages 15-49),,-1,
66,66,Prevalence of current tobacco use (% of adults),,-1,
67,67,"Prevalence of HIV, total (% of population ages 15-49)",,-1,
68,68,Prevalence of moderate or severe food insecurity in the population (%),,-1,
69,69,"Prevalence of overweight (modeled estimate, % of children under 5)",,-1,
70,70,Prevalence of severe food insecurity in the population (%),,-1,
72,72,Prevalence of undernourishment (% of population),,-1,
73,73,"Prevalence of underweight, weight for age (% of children under 5)",,-1,
74,74,"Probability of dying among adolescents ages 10-14 years (per 1,000)",,-1,
75,75,"Probability of dying among adolescents ages 15-19 years (per 1,000)",,-1,
76,76,"Probability of dying among youth ages 20-24 years (per 1,000)",,-1,
77,77,"Probability of dying among children ages 5-9 years (per 1,000)",,-1,
78,78,Risk of catastrophic expenditure for surgical care (% of people at risk),,-1,
80,80,Risk of impoverishing expenditure for surgical care (% of people at risk),,-1,
81,81,"Suicide mortality rate (per 100,000 population)",,-1,
82,82,"Survival to age 65, female (% of cohort)",,1,
83,83,"Survival to age 65, male (% of cohort)",,1,
85,85,"Tuberculosis case detection rate (%, all forms)",,-1,
86,86,Tuberculosis treatment success rate (% of new cases),,1,
91,91,Young people (ages 15-24) newly infected with HIV,,-1,
