years,Nanotech market value (billions USD),Annual revenue for Oxford Nanopore Technologies Ltd. (£1000 GBP),Funding raised by Oxford Nanopore Technologies Ltd (Million GBP),Global market for nanoparticles in biotechnology and pharmaceuticals (billion USD),The global market for nanoparticles instrumentation in life sciences (billiion USD),Global market value of nano material (billion USD),US government investment in Nanotechnology (million USD),Global government investment in Nanotechnology (million USD),Global market size of nanomedicine (USD billions) (visual estimation on chart),Graphene-based products market value worldwide from 2015 to 2025 (million USD),Number of deals to Graphene focused startups,Deals amount (USD millions) to Graphene focused startups,Number of deals to carbon nanotube focused startups ,Deals amount (USD millions) to carbon nanotube focused startups,Global shipment volumn of carbon nanotube (Tons) (forecast),2011 forecast for global carbon nanotube market,"2015 Ecomomic analysis of multi-walled carbon nanotubes (MWCNTs) demand in Tonne (MT), (Lithium-ion Battery Electrodes + Conductive Polymer Composites ) visual estimation on chart",Nano research publication by leading countries (Geogia Tech search in Web of Science) (visual estimation),Scopus publication with keywords 'nano',Nanotechnology publications per GDP(ppp) (Article per billion USD) ,Published papers on (Nano OR ultrafine particles) AND (toxic OR cytotoxic) (ISI web of science) (visual estimation on chart),Published papers on Nano OR ultrafine particles (ISI web of science) (visual estimation on chart),Nanotechnology patents in EPO,Share of nanotechnology patent applications to total patent applications (%) ,Number of nanotechnology standards (global),Nanotechnology patents in United States Patent and Trademark Office (USPTO),Nanoco Technologies-The IP portfolio of patents and pending patents,Number of carbon nanotube worldwide patents per year (visual estsimation on chart),Number of nanomaterals over time (visual estimation on chart),comulative total nano products listed on Consumer Products Inventory (CPI) over time,Number of available nano products in home and garden sector overt time (visual estimate on chart) (CPI),Number of available nano products in Health and Fitness sector overt time (visual estimate on chart) (CPI),Number of nano product available in USA (CPI) (visual estimate on chart),Number of nano product available in Europe (CPI) (visual estimate on chart),Number of nano product available in East Asia (CPI) (visual estimate on chart),Comulative number of nanoproducts on Nanodatabase over time,Number of products  associate with major nanomaterial (silver) over time on CPI,Number of nano tech firms in material sector over time (visual estimate)
1998,,,,,,,,,,,,,,,,,,,,,0.5970149253731343,0.4864864864864865,,,,,,,,,,,,,,,,0.5324675324675324
1999,,,,,,,,,,,,,,,,,,,,,0.8059701492537313,0.6216216216216216,,,,,,,,,,,,,,,,0.5844155844155844
2000,,,,,,,,,,,,,,,,,,,,,0.7761194029850746,0.7027027027027027,,,,,,,,,,,,,,,,0.7662337662337663
2001,,,,,,,0.301906435031557,1.54195642095503,,,,,,,,,,,,,0.7164179104477612,0.918918918918919,0.26227738801942796,,0.0249609984399376,0.28794449262792715,,0.14285714285714285,,,,,,,,,,0.9090909090909091
2002,,,,,,,0.45351031296766214,0.7246175243393602,,,,,,,,,,,,,1.1940298507462686,1.0810810810810811,0.372369131138694,,0.031201248049921998,0.325021682567216,,0.21428571428571427,,,,,,,,,,1.0909090909090908
2003,,,,,,,0.49450191944823996,1.1265646731571628,,,,,,,,,,0.36363636363636365,,,1.373134328358209,1.2972972972972974,0.5083648138154344,,0.0499219968798752,0.40784908933217695,,0.42857142857142855,,,,,,,,,,1.2337662337662338
2004,,,,,,,0.6435031557030385,1.0,,,,,,,,,,,,,2.08955223880597,1.6216216216216217,0.5321100917431193,,0.0686427457098284,0.4449262792714657,,0.5714285714285714,,,,,,,,,,1.4545454545454546
2005,,,,,,,0.7807925043919578,1.105702364394993,,,,,,,,,,,,0.6538461538461539,2.985074626865672,2.1621621621621623,0.5213167835941717,,0.0842433697347894,0.4243278404163053,,0.7142857142857143,0.05,0.053201970443349754,,,,,,,,1.5324675324675325
2006,,,0.24681528662420382,,,,0.8792374259873771,1.202132591562355,0.6333333333333333,,,,,,,,,0.5454545454545454,,0.6923076923076923,,,0.6281705342687534,,0.1934477379095164,0.5470511708586296,,0.7857142857142857,0.35,0.35073891625615766,,,0.2033898305084746,0.07894736842105263,0.1509433962264151,,0.08064516129032258,
2007,,,,,,,0.9266055045871558,1.2929995363931386,0.6833333333333333,,,,,,,,,,,0.7211538461538461,,,0.6616297895304911,,0.2714508580343214,0.5555073720728534,,0.8571428571428571,0.6,0.5714285714285714,0.47058823529411764,0.7306122448979592,,,,,,
2008,,,0.3184713375796179,,,,1.0114516233977486,0.8642559109874827,0.8333333333333334,,0.25,0.03208556149732621,1.0,1.5700325732899023,,,,0.7272727272727273,,0.798076923076923,,,0.7857528332433891,,0.40249609984399376,0.5834778837814397,,0.8928571428571429,0.83,0.7911330049261084,0.7352941176470589,0.9591836734693877,,,,,,
