years,Nanotech market value (billions USD),Annual revenue for Oxford Nanopore Technologies Ltd. (£1000 GBP),Funding raised by Oxford Nanopore Technologies Ltd (Million GBP),Global market for nanoparticles in biotechnology and pharmaceuticals (billion USD),The global market for nanoparticles instrumentation in life sciences (billiion USD),Global market value of nano material (billion USD),US government investment in Nanotechnology (million USD),Global government investment in Nanotechnology (million USD),Global market size of nanomedicine (USD billions) (visual estimation on chart),Graphene-based products market value worldwide from 2015 to 2025 (million USD),Number of deals to Graphene focused startups,Deals amount (USD millions) to Graphene focused startups,Number of deals to carbon nanotube focused startups ,Deals amount (USD millions) to carbon nanotube focused startups,Global shipment volumn of carbon nanotube (Tons) (forecast),2011 forecast for global carbon nanotube market,"2015 Ecomomic analysis of multi-walled carbon nanotubes (MWCNTs) demand in Tonne (MT), (Lithium-ion Battery Electrodes + Conductive Polymer Composites ) visual estimation on chart",Nano research publication by leading countries (Geogia Tech search in Web of Science) (visual estimation),Scopus publication with keywords 'nano',Nanotechnology publications per GDP(ppp) (Article per billion USD) ,Published papers on (Nano OR ultrafine particles) AND (toxic OR cytotoxic) (ISI web of science) (visual estimation on chart),Published papers on Nano OR ultrafine particles (ISI web of science) (visual estimation on chart),Nanotechnology patents in EPO,Share of nanotechnology patent applications to total patent applications (%) ,Number of nanotechnology standards (global),Nanotechnology patents in United States Patent and Trademark Office (USPTO),Nanoco Technologies-The IP portfolio of patents and pending patents,Number of carbon nanotube worldwide patents per year (visual estsimation on chart),Number of nanomaterals over time (visual estimation on chart),comulative total nano products listed on Consumer Products Inventory (CPI) over time,Number of available nano products in home and garden sector overt time (visual estimate on chart) (CPI),Number of available nano products in Health and Fitness sector overt time (visual estimate on chart) (CPI),Number of nano product available in USA (CPI) (visual estimate on chart),Number of nano product available in Europe (CPI) (visual estimate on chart),Number of nano product available in East Asia (CPI) (visual estimate on chart),Comulative number of nanoproducts on Nanodatabase over time,Number of products  associate with major nanomaterial (silver) over time on CPI,Number of nano tech firms in material sector over time (visual estimate)
1998,,,,,,,,,,,,,,,,,,,,,100,9000,,,,,,,,,,,,,,,,41
1999,,,,,,,,,,,,,,,,,,,,,135,11500,,,,,,,,,,,,,,,,45
2000,,,,,,,,,,,,,,,,,,,,,130,13000,,,,,,,,,,,,,,,,59
2001,,,,,,,464,3326,,,,,,,,,,,,,120,17000,243,,8,1328,,200,,,,,,,,,,70
2002,,,,,,,697,1563,,,,,,,,,,,,,200,20000,345,,10,1499,,300,,,,,,,,,,84
2003,,,,,,,760,2430,,,,,,,,,,40000,,,230,24000,471,,16,1881,,600,,,,,,,,,,95
2004,,,,,,,989,2157,,,,,,,,,,,,,350,30000,493,,22,2052,,800,,,,,,,,,,112
2005,,,,,,,1200,2385,,,,,,,,,,,,0.68,500,40000,483,,27,1957,,1000,50,54,,,,,,,,118
2006,,,7.75,,,,1351.3,2593,38,,,,,,,,,60000,,0.72,,,582,,62,2523,,1100,350,356,,,120,30,40,,25,
2007,,,,,,,1424.1,2789,41,,,,,,,,,,,0.75,,,613,,87,2562,,1200,600,580,64,358,,,,,,
2008,,,10,,,,1554.5,1864.2,50,,1,0.3,3,24.1,,,,80000,,0.83,,,728,,129,2691,,1250,830,803,100,470,,,,,,
2009,,,14,,,,1701.5,2721,55,,2,5.6,2,3.4,,,,,,0.9,,,747,,162,3119,,1400,1000,1015,136,490,,,,,,
2010,15.7,,17.4,,,1.1,1912.8,2014,60,,3,3.4,2,1.5,,,,,,0.94,,,852,,249,4476,,1600,1000,1015,136,490,,,,,,
2011,20.1,,25,,,,1847.3,1945,68,,4,12.9,3,0.1,,3141,400,110000,,1.03,,,1001,,392,4748,,2000,1000,1015,136,490,590,380,265,,310,
2012,20.7,,31.4,,,,1857.3,2750,77,,5,11.9,2,18.3,,3993,500,,,1.04,,,1133,,505,5342,,3000,1400,1438,240,701,,,,1208,,
