years,Nanotech market value (billions USD),Annual revenue for Oxford Nanopore Technologies Ltd. (£1000 GBP),Funding raised by Oxford Nanopore Technologies Ltd (Million GBP),Global market for nanoparticles in biotechnology and pharmaceuticals (billion USD),The global market for nanoparticles instrumentation in life sciences (billiion USD),Global market value of nano material (billion USD),US government investment in Nanotechnology (million USD),Global government investment in Nanotechnology (million USD),Global market size of nanomedicine (USD billions) (visual estimation on chart),Graphene-based products market value worldwide from 2015 to 2025 (million USD),Number of deals to Graphene focused startups,Deals amount (USD millions) to Graphene focused startups,Number of deals to carbon nanotube focused startups ,Deals amount (USD millions) to carbon nanotube focused startups,Global shipment volumn of carbon nanotube (Tons) (forecast),2011 forecast for global carbon nanotube market,"2015 Ecomomic analysis of multi-walled carbon nanotubes (MWCNTs) demand in Tonne (MT), (Lithium-ion Battery Electrodes + Conductive Polymer Composites ) visual estimation on chart",Nano research publication by leading countries (Geogia Tech search in Web of Science) (visual estimation),Scopus publication with keywords 'nano',Nanotechnology publications per GDP(ppp) (Article per billion USD) ,Published papers on (Nano OR ultrafine particles) AND (toxic OR cytotoxic) (ISI web of science) (visual estimation on chart),Published papers on Nano OR ultrafine particles (ISI web of science) (visual estimation on chart),Nanotechnology patents in EPO,Share of nanotechnology patent applications to total patent applications (%) ,Number of nanotechnology standards (global),Nanotechnology patents in United States Patent and Trademark Office (USPTO),Nanoco Technologies-The IP portfolio of patents and pending patents,Number of carbon nanotube worldwide patents per year (visual estsimation on chart),Number of nanomaterals over time (visual estimation on chart),comulative total nano products listed on Consumer Products Inventory (CPI) over time,Number of available nano products in home and garden sector overt time (visual estimate on chart) (CPI),Number of available nano products in Health and Fitness sector overt time (visual estimate on chart) (CPI),Number of nano product available in USA (CPI) (visual estimate on chart),Number of nano product available in Europe (CPI) (visual estimate on chart),Number of nano product available in East Asia (CPI) (visual estimate on chart),Comulative number of nanoproducts on Nanodatabase over time,Number of products  associate with major nanomaterial (silver) over time on CPI,Number of nano tech firms in material sector over time (visual estimate)
1998,,,,,,,,,,,,,,,,,,,,,100.0,9000.0,,,,,,,,,,,,,,,,41.0
1999,,,,,,,,,,,,,,,,,,,,,135.0,11500.0,,,,,,,,,,,,,,,,45.0
2000,,,,,,,,,,,,,,,,,,,,,130.0,13000.0,,,,,,,,,,,,,,,,59.0
2001,,,,,,,464.0,3326.0,,,,,,,,,,,,,120.0,17000.0,243.0,,8.0,1328.0,,200.0,,,,,,,,,,70.0
2002,,,,,,,697.0,1563.0,,,,,,,,,,,,,200.0,20000.0,345.0,,10.0,1499.0,,300.0,,,,,,,,,,84.0
2003,,,,,,,760.0,2430.0,,,,,,,,,,40000.0,,,230.0,24000.0,471.0,,16.0,1881.0,,600.0,,,,,,,,,,95.0
2004,,,,,,,989.0,2157.0,,,,,,,,,,,,,350.0,30000.0,493.0,,22.0,2052.0,,800.0,,,,,,,,,,112.0
2005,,,,,,,1200.0,2385.0,,,,,,,,,,,,0.68,500.0,40000.0,483.0,,27.0,1957.0,,1000.0,50.0,54.0,,,,,,,,118.0
2006,,,7.75,,,,1351.3,2593.0,38.0,,,,,,,,,60000.0,,0.72,,,582.0,,62.0,2523.0,,1100.0,350.0,356.0,,,120.0,30.0,40.0,,25.0,
2007,,,,,,,1424.1,2789.0,41.0,,,,,,,,,,,0.75,,,613.0,,87.0,2562.0,,1200.0,600.0,580.0,64.0,358.0,,,,,,
2008,,,10.0,,,,1554.5,1864.2,50.0,,1.0,0.3,3.0,24.1,,,,80000.0,,0.83,,,728.0,,129.0,2691.0,,1250.0,830.0,803.0,100.0,470.0,,,,,,
2009,,,14.0,,,,1701.5,2721.0,55.0,,2.0,5.6,2.0,3.4,,,,,,0.9,,,747.0,,162.0,3119.0,,1400.0,1000.0,1015.0,136.0,490.0,,,,,,
2010,15.7,,17.4,,,1.1,1912.8,2014.0,60.0,,3.0,3.4,2.0,1.5,,,,,,0.94,,,852.0,,249.0,4476.0,,1600.0,1000.0,1015.0,136.0,490.0,,,,,,
