,SingIndex Networks
2000,0.7542767621402577
2001,0.7690833788027625
2002,0.7216523694342778
2003,0.7765526664609173
2004,0.853435827175179
2005,0.8392426284017344
2006,0.9049895256796344
2007,0.9694027969748612
2008,1.0161406998857638
2009,0.8442243723849722
2010,0.8977193649989744
2011,0.9609914712933824
2012,0.9200086528074486
2013,1.002254799281189
2014,0.9944610319731756
2015,1.0496836842172301
2016,1.1348470291149744
2017,1.1606584796886488
2018,1.2708480018112747
2019,1.1719572398805045
2020,1.2503676141223976
2021,1.4052350741464599
2022,1.5903269737771308
2023,1.8908847300930014
2024,2.272530201384659
2025,2.48142159251379
2026,2.74646276662671
2027,2.9098316351685
2028,3.1462876471046317
2029,3.3829039154510196
2030,3.619600312002536
