id,indicator,domain,improvement,weight
0,Investment in telecommunication infrastructure in OECD area (USD billion),,1,
1,Revenue in telecommunication in OECD area (USD billion),,1,
2,Subscription (million) of mobile broadband,,1,
3,Subscription (million) of cellular mobile,,1,
4,Subscription (million) of access telephone lines,,1,
5,Subscription (million) of fixed broadband,,1,
6,Subscription (million) of M2M SIM cards,,1,
7,Subscription (million) of fibre fixed broadband ,,1,
8,Subscription (million) of cable fixed broadband,,1,
9,Number of machine to machine connections worldwide in billions,,1,
10,Forecast of 5G smartphone subscriptions worldwide (in million),,1,
11,Asia-Pacific 5G Subscription forcast 2021-2024 (in 1000 unit),,1,
12,Global 5G network infrastructure spending (billion USD),,1,
13,Percentage of 5G connections (excluding liscensed cellular IoT) (visual estimate),,1,
14,Number of Internet of Things (IoT) connected devices worldwids form 2019 to 2030 ( in billion),,1,
15,Number of internet users (in million) worldwide from 2005 to 2019,,1,
