Year,Investment in telecommunication infrastructure in OECD area (USD billion),Revenue in telecommunication in OECD area (USD billion),Subscription (million) of mobile broadband,Subscription (million) of cellular mobile,Subscription (million) of access telephone lines,Subscription (million) of fixed broadband,Subscription (million) of M2M SIM cards,Subscription (million) of fibre fixed broadband ,Subscription (million) of cable fixed broadband,Number of machine to machine connections worldwide in billions,Forecast of 5G smartphone subscriptions worldwide (in million),Asia-Pacific 5G Subscription forcast 2021-2024 (in 1000 unit),Global 5G network infrastructure spending (billion USD),Percentage of 5G connections (excluding liscensed cellular IoT) (visual estimate),Number of Internet of Things (IoT) connected devices worldwids form 2019 to 2030 ( in billion),Number of internet users (in million) worldwide from 2005 to 2019
1990,97.5,353.7,,,,,,,,,,,,,,
1991,107.2,382.5,,,,,,,,,,,,,,
1992,97.5,411.9,,,,,,,,,,,,,,
1993,106.7,436.3,,,,,,,,,,,,,,
1994,110.3,472.5,,,,,,,,,,,,,,
1995,129.7,545.5,,,,,,,,,,,,,,
1996,133.1,574.9,,120.0,452.0,,,,,,,,,,,
1997,151.6,708.4,,171.0,482.0,,,,,,,,,,,
1998,163.7,726.4,,246.0,488.0,0.7,,,,,,,,,,
1999,203.1,825.9,,363.0,544.0,3.8,,,,,,,,,,
2000,238.5,882.4,,515.0,549.0,14.5,,,,,,,,,,
2001,214.8,927.8,,617.0,552.0,34.3,,,,,,,,,,
2002,148.6,930.4,,684.0,547.0,57.5,,,,,,,,,,
2003,146.3,1044.3,,761.0,549.0,88.3,,,,,,,,,,
2004,168.1,1100.6,,870.0,545.0,122.4,,,,,,,,,,
2005,173.4,1178.8,,973.0,540.0,161.6,,,,,,,,,,1100.0
2006,196.2,1184.4,,1080.0,524.0,203.8,,,,,,,,,,1216.0
2007,202.0,1297.4,,1188.0,504.0,239.9,,,,,,,,,,1382.0
2008,206.2,1364.5,,1263.0,481.0,267.9,,,,,,,,,,1570.0
2009,177.9,1297.4,404.0,1304.0,450.0,290.0,,32.0,82.5,,,,,,,1772.0
2010,175.8,1313.5,556.0,1349.0,427.0,310.0,,38.1,89.9,,,,,,,2035.0
2011,191.7,1369.2,714.0,1409.0,403.0,325.0,,43.3,96.0,,,,,,,2242.0
2012,192.0,1312.2,791.0,1453.0,379.0,337.0,34.2,48.8,102.7,,,,,,,2473.0
2013,202.6,1312.5,922.0,1480.0,353.0,350.0,87.2,55.0,107.8,,,,,,,2660.0
2014,193.3,1323.7,1056.0,1552.0,326.0,362.0,108.4,62.4,113.2,0.5,,,,,,2839.0
2015,186.24,1237.7,1182.0,1593.0,305.0,378.0,132.0,71.7,122.1,0.6,,,,,,3030.0
2016,191.53,1267.8,1293.0,1649.0,288.0,393.0,161.8,82.5,129.2,0.8,,,,,,3274.0
2017,196.93,1259.6,1376.0,1684.0,268.0,406.0,223.9,94.5,134.3,1.1,,,2.1,,,3492.0
2018,202.43,1286.6,1484.0,1742.8,251.0,419.0,271.9,107.1,140.4,1.5,,,2.7,,,3742.0
2019,,,,,,,,121.3,146.0,2.0,,4488.0,2.0,0.0,7.74,3969.0
2020,,,,,,,,138.7,154.1,2.6,212.0,47776.0,3.6,3.0,8.74,
2021,,,,,,,,,,3.3,569.0,102932.0,5.1,7.0,10.07,
2022,,,,,,,,,,,1083.0,250236.0,9.4,9.0,11.57,
2023,,,,,,,,,,,1618.0,592520.0,16.2,12.0,13.15,
2024,,,,,,,,,,,2175.0,1139108.0,23.1,16.0,14.76,
2025,,,,,,,,,,,2756.0,,33.8,20.0,16.44,
2026,,,,,,,,,,,3352.0,,41.8,,18.15,
2027,,,,,,,,,,,,,,,19.91,
2028,,,,,,,,,,,,,,,21.72,
2029,,,,,,,,,,,,,,,23.57,
2030,,,,,,,,,,,,,,,25.44,
