,SingIndex Social
2000,0.8942614715278365
2001,0.9498942687365933
2002,1.0055270659453501
2003,1.0229141167211688
2004,1.1797581240454444
2005,1.1269660192007969
2006,1.1571729977402276
2007,1.1641014519437385
2008,1.0516339932630971
2009,0.8255969155521324
2010,1.199039901143453
2011,1.155248336947592
2012,1.0991690320033738
2013,1.1355861487529648
2014,1.1460061316370331
2015,1.1431032830825385
2016,1.128508322165394
2017,1.1929036735622827
2018,1.1709499065349047
2019,1.134210614804035
2020,1.0974713230731652
2021,1.0607320313422954
2022,1.0239927396114257
2023,0.9872534478805559
2024,0.9505141561496862
2025,0.9137748644188164
2026,0.8770355726879466
2027,0.8402962809570769
2028,0.8035569892262071
2029,0.7668176974953373
2030,0.7300784057644676
