Date,"Adjusted net enrollment rate, primary (% of primary school age children)",Adolescents out of school (% of lower secondary school age),"Agriculture, forestry, and fishing, value added (annual % growth)",Children out of school (% of primary school age),"Children out of school, primary","Compulsory education, duration (years)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Exports of goods and services (annual % growth),GDP growth (annual %),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)",Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Households and NPISHs Final consumption expenditure (annual % growth),Imports of goods and services (annual % growth),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Lower secondary completion rate, total (% of relevant age group)",Net intake rate in grade 1 (% of official school-age population),"Persistence to last grade of primary, total (% of cohort)",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Preprimary education, duration (years)","Primary completion rate, total (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","Primary education, pupils (% female)","Primary education, teachers","Primary education, teachers (% female)",Progression to secondary school (%),"Pupil-teacher ratio, lower secondary","Pupil-teacher ratio, preprimary","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Pupil-teacher ratio, upper secondary",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Repeaters, primary, total (% of total enrollment)","School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","Secondary education, duration (years)","Secondary education, general pupils","Secondary education, teachers","Secondary education, vocational pupils","Self-employed, female (% of female employment) (modeled ILO estimate)","Tertiary education, academic staff (% female)",Trained teachers in primary education (% of total teachers),Trained teachers in secondary education (% of total teachers),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
1971,,,0.8769623987360506,0.6166168263726617,0.8015267175572519,,,,,,1.3778803475695496,1.4340406778648591,1.270224329804636,,0.6137856901921575,,0.9739711604910787,1.52754616040198,1.0161293447722803,,,,,,,,0.8921763397711026,,,,,0.9069395981592001,1.0,0.6602564102564102,0.9379702239529274,0.6160337552742616,0.9419091163437276,,,,0.9305039781222753,1.0427336509300726,,,,,0.5998459238700659,0.5360921414923088,0.8997244534704564,0.8832503524850194,0.8805610417433802,0.7476894178531929,0.8676925526591146,0.637977808963067,0.7670369383393949,1.0,0.5116959064327485,0.5236051502145923,0.5005488474204172,,,,,,,,,,,
1972,,,0.15236380162575114,0.6359519658642987,0.8076923076923077,,,,,,1.9576512299485251,1.9029569416730485,2.1475540742440438,,1.8334097049003455,,0.98016390933504,1.9763725517964408,1.5392024767062866,,,,,,,,0.8885409625637535,,,,,0.9096855433492875,1.0,0.6826923076923077,0.937631842593462,0.6455696202531646,0.927977087155132,,,,0.943906631699957,1.0294738703977562,,,,,0.6030994677598723,0.5287209399257394,0.9095622728396004,0.8824682763482552,0.8797130072864013,0.7799555675118804,0.8675105773167736,0.6504680283413355,0.7744461529818414,1.0,0.543859649122807,0.5493562231759657,0.5181119648737651,,,,,,,,,,,
1973,,,1.7380296297938462,0.6910603455597828,0.860655737704918,,,,,,2.3605606096076475,2.1649522638779577,2.6332855455837714,,3.0428903751364293,2.2657622906972223,0.9878371295922674,1.8607070434948103,2.169648435348974,,,,,,,,0.8825922482627494,,,,,0.916228303659202,1.0,0.719551282051282,0.9362923623588983,0.6666666666666666,0.9227900606810477,,,1.0007521753865858,0.9264555454749646,1.0270977902485674,,,,,0.6159195942413451,0.5299886391819364,0.9373499198748592,0.8800118963694044,0.8812528593267052,0.8041984553120591,0.8770756562485782,0.6649943731621673,0.7912565322782853,1.0,0.5730994152046783,0.575107296137339,0.535675082327113,,,,,,,,,,,
1974,,,1.1642343717869807,0.7107533779344609,0.8677685950413224,,,,,,2.08087318140229,0.6408947145565262,0.006151007812844452,,0.057934523569877015,-0.5426991556098452,0.9905939974119579,0.4486879368129547,1.0503069282573976,,,,,,,,0.8865664939889134,,,,,0.9180601227234224,1.0,0.7435897435897436,0.9340282755872003,0.6877637130801688,0.9146284932479002,,,0.9869040455880791,0.9225280159769279,1.034430981378705,,,,,0.6327442200886898,0.5373615822460475,0.9476889439212813,0.8757049700387735,0.8830158783293721,0.8079461447299124,0.891053637232155,0.6855434777927732,0.804104052423558,1.0,0.5877192982456141,0.592274678111588,0.5554335894621295,,0.8406222807496015,,,,,,,,,
1975,,,1.3388377900957986,0.7447918122575149,0.8898305084745762,,,,,,-0.9156903191110687,0.23617930667400883,-0.6580149639838108,,-1.8986055020839412,-0.431702192230457,1.005453440750996,0.8800679534343894,-0.6654836493925239,,,,0.8981518388295658,0.9040837082431155,,,0.8944779549977546,,,,,0.9251601809080059,1.0,0.7676282051282052,0.9535874096204674,0.7046413502109705,0.9041045024131755,,,0.9817972562332842,0.9178936009141702,1.0283500131451042,,,,,0.6481877602145226,0.5576127600766737,0.9611851437161779,0.9077921219598167,0.9095950635467924,0.8165420966582518,0.9056116646194441,0.7170036504410807,0.8155814739127626,1.0,0.6081871345029239,0.6094420600858369,0.5686059275521405,,0.83772512076515,,,,,,,,,
1976,,,0.5427655877974688,0.7644959839017658,0.8974358974358974,,,,,,1.94468120795099,1.778753049544612,2.0718076918038983,,2.6876487484637592,1.509485252722604,1.011983840969913,1.6591453050952614,1.7492281244029995,,,0.8404611761674144,0.898888095773078,0.9041298212370589,,,0.9067839173054253,,,,,0.9319118576487491,1.0,0.7868589743589743,0.9649657529325574,0.7257383966244726,0.9044431937216387,,,0.9625306368016413,0.9176220797154647,1.0125222164499472,,,,,0.6585856322643887,0.6172474895955438,0.9673065611799168,0.9265619492421572,0.9239670159229627,0.8448613755728432,0.9114917428688413,0.7498821205486801,0.816941019460704,1.0,0.6461988304093568,0.6351931330472103,0.601536772777168,,0.8445706904574264,,,,,,,,,
1977,,,1.107145530924211,0.7657755093625919,0.8823529411764706,,,,,,0.9722064183634065,1.3231082982252003,1.3025352707012832,,1.111419447564968,1.2780876529616796,1.0189094046111675,1.2535179463267632,0.9185108241657414,,,0.8428695714886916,0.9017680119764061,0.9062546743052297,,,0.9230336218444453,,,,,0.9397155302731783,1.0,0.8012820512820513,0.9677315775820836,0.7341772151898734,0.8893547707298574,,,0.9349150519210974,0.9145074320782601,0.9973803721950224,,,,,0.6634465090820859,0.7211174468454075,0.967283655308819,0.9308688755727882,0.9286646804807016,0.8626586996469869,0.9181452163231882,0.7552620136823797,0.8433633252005824,1.0,0.6988304093567251,0.6781115879828327,0.6256860592755215,,0.8492691721770882,,,,,,,,,
1978,,,0.7509254043461788,0.732942210679464,0.8267716535433072,,,,,,0.8733719476951401,1.3035303105439886,1.269254652503637,,1.115448182142832,1.64166351751631,1.0133669129480953,1.3211774923206694,0.6370252588301547,,,0.8488143302979979,0.9100505677706988,0.9123332897747684,,,0.9201437820190956,,,,,0.946921829894897,1.0,0.8060897435897436,0.9673625128554125,0.7426160337552743,0.9172543813894278,,,0.9643706449016538,0.9196065666720917,0.9874675618838505,,,,,0.6668806904422125,0.6802973864176549,0.9550016684959409,0.9302520267888615,0.9334627701715037,0.8604339247455143,0.9337609753878349,0.7738245210052409,0.8551674714654385,1.0,0.7397660818713451,0.703862660944206,0.6410537870472008,,0.8545421072975005,,,,,,,,,
1979,,,0.38568826949627105,0.7430611575409918,0.8333333333333334,,,,,,1.3046536859977695,1.3735633151034936,1.3833847859555735,,1.3519379376685188,1.2548780474294627,1.0262774399718007,1.2803804790315498,1.4086757586333507,,,0.8544787021532267,0.9182681397510563,0.9181801810198289,,,0.9221119900513318,,,,,0.9538504190587589,1.0,0.8205128205128205,0.9671507544056832,0.7552742616033755,0.9151370454610641,,,0.9692790086965504,0.9185796907999688,0.9984310477464916,,,,,0.6855546874088931,0.6881682471980685,0.9606300547430138,0.9304613147691223,0.9359845568462044,0.8773785147059003,0.9410968563759611,0.784054671204655,0.8637149167582624,1.0,0.7690058479532164,0.7467811158798283,0.6959385290889133,,0.8610624269452566,,,,,,,,,
1980,,,0.9993320706564255,0.7813538096280255,0.860655737704918,,,,,,0.32172208850394274,0.6153889835162433,0.06602203564298355,,-0.004882940658700525,0.3569443620311118,1.020500262050861,0.6201539670207634,0.27381412150542295,,,0.8580697822448431,0.9268863331928222,0.9233555355988999,,,0.9166468027642027,,,,,0.9627649335146159,1.0,0.8413461538461539,0.9681710844052975,0.7805907172995781,0.9099809340151356,,,0.9629513780623059,0.9269333878036571,1.0066714453579826,,,,,0.6859882749414213,0.7231749727812876,0.9741381615546043,0.9332591646105041,0.9365647909483479,0.8663999130463244,0.9380942632273327,0.7959876365635989,0.8708079586792434,1.0,0.7719298245614035,0.759656652360515,0.7178924259055982,,0.8605186110592129,,,,,,,,,
