id,indicator,datapoints,domain,improvement,weight
0,"Adjusted net enrollment rate, primary (% of primary school age children)",11,,1,
1,"Adjusted net enrollment rate, primary, female (% of primary school age children)",10,,0,
2,"Adjusted net enrollment rate, primary, male (% of primary school age children)",9,,0,
3,Adolescents out of school (% of lower secondary school age),22,,1,
4,"Adolescents out of school, female (% of female lower secondary school age)",22,,0,
5,"Adolescents out of school, male (% of male lower secondary school age)",22,,0,
6,"Agriculture, forestry, and fishing, value added (annual % growth)",50,,1,
7,Children out of school (% of primary school age),49,,-1,
8,"Children out of school, female (% of female primary school age)",49,,0,
9,"Children out of school, male (% of male primary school age)",49,,0,
10,"Children out of school, primary",49,,-1,
11,"Children out of school, primary, female",49,,0,
12,"Children out of school, primary, male",49,,0,
13,"Compulsory education, duration (years)",22,,1,
14,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",29,,1,
15,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",29,,0,
16,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",29,,0,
17,"Employers, female (% of female employment) (modeled ILO estimate)",29,,0,
18,"Employers, male (% of male employment) (modeled ILO estimate)",29,,0,
19,"Employers, total (% of total employment) (modeled ILO estimate)",29,,0,
20,Employment in agriculture (% of total employment) (modeled ILO estimate),29,,0,
21,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",29,,0,
22,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",29,,0,
23,Employment in industry (% of total employment) (modeled ILO estimate),29,,0,
24,"Employment in industry, female (% of female employment) (modeled ILO estimate)",29,,0,
25,"Employment in industry, male (% of male employment) (modeled ILO estimate)",29,,0,
26,Employment in services (% of total employment) (modeled ILO estimate),29,,0,
27,"Employment in services, female (% of female employment) (modeled ILO estimate)",29,,0,
28,"Employment in services, male (% of male employment) (modeled ILO estimate)",29,,0,
29,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",29,,1,
30,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",29,,0,
31,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",30,,0,
32,"Employment to population ratio, 15+, total (%) (national estimate)",11,,0,
33,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",29,,1,
34,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",29,,0,
35,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",29,,1,
36,Exports of goods and services (annual % growth),50,,1,
37,Final consumption expenditure (annual % growth),49,,0,
38,GDP growth (annual %),50,,1,
39,GDP per capita growth (annual %),50,,1,
40,GDP per person employed (constant 2017 PPP $),30,,0,
41,General government final consumption expenditure (annual % growth),49,,0,
42,GNI growth (annual %),48,,0,
43,GNI per capita growth (annual %),48,,0,
44,"GNI per capita, Atlas method (current US$)",49,,0,
45,"GNI, Atlas method (current US$)",49,,0,
46,"Government expenditure on education, total (% of GDP)",19,,1,
47,"Government expenditure on education, total (% of government expenditure)",18,,0,
48,Gross capital formation (annual % growth),50,,1,
49,Gross fixed capital formation (annual % growth),47,,1,
50,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",48,,0,
51,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",48,,0,
52,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",48,,1,
53,Households and NPISHs Final consumption expenditure (annual % growth),49,,1,
54,Households and NPISHs Final consumption expenditure per capita growth (annual %),49,,0,
55,Imports of goods and services (annual % growth),50,,1,
56,"Industry (including construction), value added (annual % growth)",25,,0,
57,International migrant stock (% of population),6,,0,
58,"International migrant stock, total",9,,0,
59,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",30,,0,
60,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",30,,0,
61,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30,,1,
62,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",30,,0,
63,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",30,,0,
64,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",30,,0,
65,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",30,,0,
66,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",31,,0,
67,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",11,,0,
68,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",30,,0,
69,"Labor force, female (% of total labor force)",30,,1,
70,"Labor force, total",31,,0,
71,"Literacy rate, adult female (% of females ages 15 and above)",44,,0,
72,"Literacy rate, adult male (% of males ages 15 and above)",44,,0,
73,"Literacy rate, adult total (% of people ages 15 and above)",44,,1,
74,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",45,,1,
75,"Literacy rate, youth female (% of females ages 15-24)",45,,0,
76,"Literacy rate, youth male (% of males ages 15-24)",45,,0,
