,id,indicator,datapoints,domain,improvement,weight
0,0,"Adjusted net enrollment rate, primary (% of primary school age children)",11,,1,
3,3,Adolescents out of school (% of lower secondary school age),22,,1,
6,6,"Agriculture, forestry, and fishing, value added (annual % growth)",50,,1,
7,7,Children out of school (% of primary school age),49,,-1,
10,10,"Children out of school, primary",49,,-1,
13,13,"Compulsory education, duration (years)",22,,1,
14,14,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",29,,1,
29,29,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",29,,1,
33,33,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",29,,1,
35,35,"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",29,,1,
36,36,Exports of goods and services (annual % growth),50,,1,
38,38,GDP growth (annual %),50,,1,
39,39,GDP per capita growth (annual %),50,,1,
46,46,"Government expenditure on education, total (% of GDP)",19,,1,
48,48,Gross capital formation (annual % growth),50,,1,
49,49,Gross fixed capital formation (annual % growth),47,,1,
52,52,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",48,,1,
53,53,Households and NPISHs Final consumption expenditure (annual % growth),49,,1,
55,55,Imports of goods and services (annual % growth),50,,1,
61,61,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",30,,1,
69,69,"Labor force, female (% of total labor force)",30,,1,
73,73,"Literacy rate, adult total (% of people ages 15 and above)",44,,1,
74,74,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",45,,1,
77,77,"Literacy rate, youth total (% of people ages 15-24)",45,,1,
80,80,"Lower secondary completion rate, total (% of relevant age group)",34,,1,
82,82,Net intake rate in grade 1 (% of official school-age population),14,,1,
87,87,"Persistence to last grade of primary, total (% of cohort)",48,,1,
91,91,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),37,,-1,
92,92,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),37,,-1,
93,93,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),37,,-1,
94,94,"Preprimary education, duration (years)",21,,1,
97,97,"Primary completion rate, total (% of relevant age group)",49,,1,
98,98,"Primary education, duration (years)",50,,1,
99,99,"Primary education, pupils",49,,1,
100,100,"Primary education, pupils (% female)",48,,1,
101,101,"Primary education, teachers",49,,1,
102,102,"Primary education, teachers (% female)",49,,1,
103,103,Progression to secondary school (%),33,,1,
106,106,"Pupil-teacher ratio, lower secondary",26,,-1,
107,107,"Pupil-teacher ratio, preprimary",46,,-1,
108,108,"Pupil-teacher ratio, primary",48,,-1,
109,109,"Pupil-teacher ratio, secondary",48,,-1,
110,110,"Pupil-teacher ratio, upper secondary",26,,-1,
111,111,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),30,,1,
112,112,Refugee population by country or territory of asylum,31,,-1,
113,113,Refugee population by country or territory of origin,31,,-1,
116,116,"Repeaters, primary, total (% of total enrollment)",48,,-1,
117,117,"School enrollment, preprimary (% gross)",49,,1,
120,120,"School enrollment, primary (% gross)",49,,1,
122,122,"School enrollment, primary (gross), gender parity index (GPI)",49,,1,
123,123,"School enrollment, primary and secondary (gross), gender parity index (GPI)",49,,1,
129,129,"School enrollment, secondary (% gross)",49,,1,
131,131,"School enrollment, secondary (gross), gender parity index (GPI)",49,,1,
137,137,"School enrollment, tertiary (% gross)",49,,1,
138,138,"School enrollment, tertiary (gross), gender parity index (GPI)",49,,1,
141,141,"Secondary education, duration (years)",50,,1,
142,142,"Secondary education, general pupils",48,,1,
146,146,"Secondary education, teachers",49,,1,
149,149,"Secondary education, vocational pupils",48,,1,
151,151,"Self-employed, female (% of female employment) (modeled ILO estimate)",29,,1,
155,155,"Tertiary education, academic staff (% female)",46,,1,
156,156,Trained teachers in primary education (% of total teachers),7,,1,
159,159,Trained teachers in secondary education (% of total teachers),3,,1,
160,160,"Unemployment, female (% of female labor force) (modeled ILO estimate)",29,,-1,
162,162,"Unemployment, total (% of total labor force) (modeled ILO estimate)",30,,-1,
164,164,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",29,,-1,
166,166,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",29,,-1,
167,167,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",29,,-1,
170,170,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",29,,1,
172,172,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",29,,1,
