Date,"Adjusted net enrollment rate, primary (% of primary school age children)",Adolescents out of school (% of lower secondary school age),"Agriculture, forestry, and fishing, value added (annual % growth)",Children out of school (% of primary school age),"Children out of school, primary","Compulsory education, duration (years)","Contributing family workers, female (% of female employment) (modeled ILO estimate)","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)","Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",Exports of goods and services (annual % growth),GDP growth (annual %),GDP per capita growth (annual %),"Government expenditure on education, total (% of GDP)",Gross capital formation (annual % growth),Gross fixed capital formation (annual % growth),"Gross intake ratio in first grade of primary education, total (% of relevant age group)",Households and NPISHs Final consumption expenditure (annual % growth),Imports of goods and services (annual % growth),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force, female (% of total labor force)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)","Lower secondary completion rate, total (% of relevant age group)",Net intake rate in grade 1 (% of official school-age population),"Persistence to last grade of primary, total (% of cohort)",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),"Preprimary education, duration (years)","Primary completion rate, total (% of relevant age group)","Primary education, duration (years)","Primary education, pupils","Primary education, pupils (% female)","Primary education, teachers","Primary education, teachers (% female)",Progression to secondary school (%),"Pupil-teacher ratio, lower secondary","Pupil-teacher ratio, preprimary","Pupil-teacher ratio, primary","Pupil-teacher ratio, secondary","Pupil-teacher ratio, upper secondary",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Repeaters, primary, total (% of total enrollment)","School enrollment, preprimary (% gross)","School enrollment, primary (% gross)","School enrollment, primary (gross), gender parity index (GPI)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","School enrollment, secondary (gross), gender parity index (GPI)","School enrollment, tertiary (% gross)","School enrollment, tertiary (gross), gender parity index (GPI)","Secondary education, duration (years)","Secondary education, general pupils","Secondary education, teachers","Secondary education, vocational pupils","Self-employed, female (% of female employment) (modeled ILO estimate)","Tertiary education, academic staff (% female)",Trained teachers in primary education (% of total teachers),Trained teachers in secondary education (% of total teachers),"Unemployment, female (% of female labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)"
1971,,,2.333308771,28.3155098,131000000.0,,,,,,6.297603771,4.341362676,2.162125157,,2.105039996,,104.9975,4.668222979,5.489942998,,,,,,,,66.97868,,,,,73.72608948,6,412000000.0,43.40846,14600000.0,54.84182,,,,28.23694,16.24282,,,,,9.80035,15.55792999,89.1638,0.80185,0.78915,42.71839,0.76291,9.913760185,0.727779984,6,175000000.0,12200000.0,22800000.0,,,,,,,,,,,
1972,,,0.405390009,27.45462036,130000000.0,,,,,,8.94744728,5.760942746,3.655480832,,6.287863695,,105.6651,6.039848746,8.316002193,,,,,,,,66.70576,,,,,73.9493103,6,426000000.0,43.3928,15300000.0,54.03064,,,,27.836,16.45203,,,,,9.74748,15.34401035,90.13874,0.80114,0.78839,44.56188,0.76275,10.10785007,0.734809995,6,186000000.0,12800000.0,23600000.0,,,,,,,,,,,
1973,,,4.624325724,25.2652607,122000000.0,,,,,,10.78894508,6.554097871,4.482273556,,10.43589977,7.649070841,106.4923,5.686371779,11.72217523,,,,,,,,66.25917,,,,,74.48117828,6,449000000.0,43.33081,15800000.0,53.72863,,,19.50343,28.36033,16.49009,,,,,9.54459,15.38080025,92.89253,0.79891,0.78977,45.94697,0.77116,10.33358002,0.750760019,6,196000000.0,13400000.0,24400000.0,,,,,,,,,,,
1974,,,3.097645093,24.56522942,121000000.0,,,,,,9.510633356,1.940221387,0.01047,,0.198692298,-1.832118181,106.7895,1.371202646,5.674597625,,,,,,,,66.55753,,,,,74.63008881,6,464000000.0,43.22603,16300000.0,53.25343,,,19.7771,28.48107,16.37319,,,,,9.2908,15.59477043,93.91714,0.795,0.79135,46.16109,0.78345,10.65289974,0.762950003,6,201000000.0,13800000.0,25300000.0,,30.7302,,,,,,,,,
1975,,,3.562207414,23.44255066,118000000.0,,,,,,-4.185163695,0.715000657,-1.120046809,,-6.511459264,-1.457399421,108.3914,2.689511813,-3.595474651,,,,0.829559982,77.33325195,,,67.15147,,,,,75.20726013,6,479000000.0,44.13121,16700000.0,52.64068,,,19.87997,28.62487,16.47001,,,,,9.06944,16.18247986,95.25463,0.82413,0.81517,46.65221,0.79625,11.14177036,0.77384001,6,208000000.0,14200000.0,25900000.0,,30.62429,,,,,,,,,
1976,,,1.444120875,22.83834076,117000000.0,,,,,,8.888167779,5.384932393,3.526548363,,9.217562744,5.095927176,109.0954,5.070393576,9.450728633,,,66.91512299,0.830240011,77.33719635,,,68.07532,,,,,75.75611115,6,491000000.0,44.65779,17200000.0,52.6604,,,20.2779,28.63334,16.72747,,,,,8.92625,17.91313934,95.86127,0.84117,0.82805,48.2702,0.80142,11.6526804,0.775129974,6,221000000.0,14800000.0,27400000.0,,30.87454,,,,,,,,,
1977,,,2.945750447,22.80018044,119000000.0,,,,,,4.443470594,4.005530018,2.217123551,,3.811725211,4.314743448,109.842,3.830785238,4.962529715,,,67.10687256,0.832899988,77.51895142,,,69.29524,,,,,76.39048004,6,500000000.0,44.78579,17400000.0,51.78189,,,20.87687,28.73086,16.98142,,,,,8.86085,20.92754936,95.859,0.84508,0.83226,49.28703,0.80727,11.73628044,0.800199986,6,239000000.0,15800000.0,28500000.0,,31.0463,,,,,,,,,
1978,,,1.997965745,23.82155037,127000000.0,,,,,,3.991747528,3.946260329,2.160474611,,3.825542163,5.542152676,109.2445,4.037554667,3.441719676,,,67.58017731,0.840550005,78.03890228,,,69.07829,,,,,76.97628784,6,503000000.0,44.76871,17600000.0,53.40632,,,20.23921,28.57155,17.15189,,,,,8.81522,19.74291039,94.64184,0.84452,0.83656,49.15992,0.821,12.02472973,0.811399996,6,253000000.0,16400000.0,29200000.0,,31.23906,,,,,,,,,
1979,,,1.026189747,23.49715042,126000000.0,,,,,,5.962921227,4.158275704,2.354742369,,4.636607657,4.236389281,110.6363,3.912877875,7.610792521,,,68.03115845,0.848140001,78.53903198,,,69.22605,,,,,77.53952026,6,512000000.0,44.75891,17900000.0,53.28304,,,20.13672,28.60349,16.96355,,,,,8.5751,19.97133064,95.19962,0.84471,0.83882,50.12803,0.82745,12.18369961,0.819509983,6,263000000.0,17400000.0,31700000.0,,31.47742,,,,,,,,,
1980,,,2.658894257,22.34560013,122000000.0,,,,,,1.470431189,1.863006263,0.112380074,,-0.016746538,1.205021693,110.0135,1.895207539,1.479362767,,,68.31707001,0.856100023,78.98171997,,,68.81576,,,,,78.26419067,6,525000000.0,44.80613,18500000.0,52.98283,,,20.26904,28.34571,16.82469,,,,,8.56968,20.98726082,96.53829,0.84725,0.83934,49.50078,0.82481,12.36913013,0.826240003,6,264000000.0,17700000.0,32700000.0,,31.45754,,,,,,,,,
