,SingIndex Social
2000,0.8954333894997646
2001,0.9143698086551696
2002,0.9333062278105746
2003,0.9639454593682755
2004,1.0054276703108795
2005,1.016730829476564
2006,1.0454024941626532
2007,1.0710823832500656
2008,1.0499062559284873
2009,1.0008588316855684
2010,1.1317770207285207
2011,1.1360239978883504
2012,1.1624275628882368
2013,1.1818910971887433
2014,1.2117335755300824
2015,1.238664404326631
2016,1.2724917240389468
2017,1.3135891864389067
2018,1.3451694676764467
2019,1.3501970205408094
2020,1.355224573405172
2021,1.3602521262695346
2022,1.3652796791338973
2023,1.3703072319982599
2024,1.3753347848626225
2025,1.3803623377269851
2026,1.3853898905913478
2027,1.3904174434557104
2028,1.395444996320073
2029,1.4004725491844356
2030,1.4055001020487983
