Date,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),GDP growth (annual %),"Government expenditure on education, total (% of government expenditure)",Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Patent applications, residents",People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),Population ages 65 and above (% of total population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Research and development expenditure (% of GDP),"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Strength of legal rights index (0=weak to 12=strong),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1972,,,5.760942746,,,,59.59650708,,,,,5.427446495,,,,90.13874,0.78839,,,
1973,,,6.554097871,,,,60.04732476,,,,,5.479838355,,,,92.89253,0.78977,,,
1974,,,1.940221387,,,,60.54066306,,,,,5.529704282,,,,93.91714,0.79135,,,
1975,,,0.715000657,,,,60.98545571,,,,,5.579069742,,,,95.25463,0.81517,,,
1976,,,5.384932393,,,,61.40880302,66.91512299,,,,5.658587682,,,,95.86127,0.82805,,,
1977,,,4.005530018,,,,61.83266426,67.10687256,,,,5.736435601,,,,95.859,0.83226,,,
1978,,,3.946260329,,,,62.19342263,67.58017731,,,,5.806879857,,,,94.64184,0.83656,,,
1979,,,4.158275704,,,,62.55547206,68.03115845,,,,5.860477964,,,,95.19962,0.83882,,,
1980,,,1.863006263,,,,62.84174466,68.31707001,,,,5.892860279,,,,96.53829,0.83934,,,
1981,,,1.870292449,,,,63.1825087,68.87568665,,,,5.927443881,,,,97.44668,0.83787,,,
1982,,,0.532136936,,,,63.50892059,69.38105011,,,,5.93618528,,,,97.91173,0.83538,,,
1983,,,2.403140898,,,,63.7570354,69.92421722,,,,5.93196788,,,,98.02538,0.83655,,,
1984,,,4.472081361,,,,64.02157095,70.45529175,,,,5.930212265,,,,98.40017,0.83598,,,
1985,,,3.677139562,,,,64.2791077,70.93419647,455973.0,,,5.93884483,,,,98.78557,0.83726,,,
1986,,,3.430696442,,,,64.57949518,71.37555695,472441.0,,,5.975742037,,,,100.1737,0.85109,,,
1987,,,3.685656054,,,,64.83055625,71.96198273,500797.0,,,6.016040262,,,,99.37374,0.85744,,,
1988,,,4.630059944,,,,65.03449926,73.66123199,510311.0,,,6.060381731,,,,99.95025,0.86052,,,
1989,,,3.726664517,,,,65.24696878,74.09586334,523525.0,,,6.109275029,,,,100.1363,0.86382,,,
1990,,,2.978322308,,0.04923535,70.32214454,65.43292073,74.31614685,541394.0,,,6.161532544,,66.82612188,,99.7824,0.86755,,,
1991,,,1.508461234,,0.079181145,70.29433615,65.61804589,74.87671661,546689.0,,,6.234886609,,66.85157406,,99.10123,0.87431,,,4.801820524
1992,,,1.776938622,,0.125363508,70.27674253,65.769659,75.32282257,606811.0,,,6.315064245,,66.92070225,,98.46058,0.88002,,,4.933969896
1993,,,1.492362483,,0.178899927,70.12220119,65.88402592,75.75018311,624467.0,,,6.39363278,,66.91044819,,98.36819,0.88459,,,5.227373649
1994,,,2.946775756,,0.359900199,70.16918209,66.08743355,76.17237091,612705.0,,,6.465075721,,67.13443021,,98.2684,0.89146,,,5.487653763
1995,,,3.020666633,,0.681457001,70.04680722,66.27387614,76.58119202,664314.0,,,6.525811088,,67.23092583,,98.34062,0.89619,,,5.625085984
1996,,,3.430991951,,1.323469817,69.91311812,66.55801327,76.99568939,674693.0,,,6.613459502,,67.30553901,1.989039288,97.58082,0.89979,,,5.690529759
1997,,,3.707802777,,2.039508472,69.81991152,66.84296937,79.02835083,690896.0,,,6.683428507,11.69217106,67.40170246,1.983570427,97.05143,0.90621,,,5.704659006
1998,,72.65800081,2.560054877,,3.136405826,69.677404,67.08624391,80.20594788,705326.0,,,6.74405685,13.07082223,67.47004211,2.000771182,97.70825,0.91305,,,5.854128694
1999,,74.13646465,3.245240312,,4.629935041,69.66053495,67.29362178,80.549263,744235.0,,,6.806003833,13.52010547,67.59423062,2.075901154,97.95245,0.9197,,,5.978623472
2000,49.40134813,78.73606533,4.425403056,13.36015987,6.733880382,69.52551347,67.54902793,80.6754303,823163.0,61.2543374,28.20485386,6.874090181,13.90443953,67.69700608,2.077490782,98.78522,0.92126,1067910.34,,5.804660271
2001,50.20578434,78.22165842,1.95300111,14.46177006,8.059073553,69.25456163,67.82173353,80.99337006,832292.0,61.70454247,28.39666371,6.958164955,14.09070087,67.64134066,2.096717646,99.58042,0.92499,1105881.954,,5.869660522
2002,50.81438611,79.39760703,2.168781675,14.55163527,10.52836869,69.04837173,68.07037328,81.39530945,825400.0,62.83691799,28.65353598,7.045488676,15.19744591,67.63864321,2.058899822,99.85798,0.92744,1153759.448,,6.110880076
2003,51.40701236,80.00876536,2.950230924,15.0490303,12.20976598,68.85517671,68.32623451,81.92431641,856413.0,63.60940709,29.59817711,7.130423738,15.17920722,67.71044193,2.047599817,101.4003,0.94476,1209556.86,,6.200708576
2004,52.05722365,80.16051425,4.407677887,14.20266962,14.09822932,68.75411722,68.65264378,82.34432983,895630.0,63.93015354,30.59816676,7.202322929,15.89700057,67.64422353,1.999139711,101.8936,0.94587,1324239.743,,6.026956083
2005,52.66873272,80.16144761,3.899393075,13.99095011,15.70289362,68.62855746,68.92032186,82.26029968,965511.0,64.24245883,31.45184067,7.25756117,16.47454501,67.65976455,1.989646817,102.2071,0.95046,1488551.183,,5.907434567
2006,53.41455428,81.25109416,4.367086833,14.03530025,17.48319379,68.35903536,69.26239879,82.52599335,997878.0,64.56688412,32.73649533,7.327538808,16.96966423,67.478489,1.998441897,102.2951,0.95425,1569368.994,,5.601949011
2007,54.06015212,82.20470557,4.319245172,14.06704998,20.41173816,68.19753728,69.59170555,82.8167572,1054755.0,64.88221,33.78364794,7.383349616,17.8692023,67.41301269,1.965245275,103.0686,0.95849,1660543.035,,5.361982087
2008,54.75274636,82.28431997,1.858891084,14.18270493,22.95877302,67.95569971,69.89949278,83.33973694,1080237.0,65.19862864,34.85084212,7.434625353,18.44275463,67.19814066,2.03057468,103.4302,0.96522,1749903.556,,5.376596475
2009,55.32249011,82.76505535,-1.666425827,14.02987003,25.37083725,67.6955063,70.2465195,83.62332916,1075392.0,65.85203367,35.94850991,7.493201741,19.02508657,67.15820624,2.062944276,103.3128,0.97222,1853966.534,,6.010123882
2010,56.06480561,83.29997202,4.3103797,14.16016006,28.75350637,67.38876952,70.5565916,84.02162933,1160899.0,66.49626009,37.05801786,7.567146047,19.15703782,66.90121029,2.060517145,103.1647,0.97123,1943521.455,,5.920482932
2011,56.63224018,82.11274711,3.126799817,13.64705992,31.14821058,67.17587891,70.883485,84.2837677,1291549.0,67.1290658,38.16505468,7.667928104,19.82776673,66.69577185,2.053882915,103.4997,0.97381,2043639.604,,5.783887616
